Table S2: differentially regulated genes (DEGs) between mouse GP1 and GP2 clusters;;;;;;
;;;;;;
Gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
SLC19A1;0,378686217;0,190484078;0,270073002;1,198547203;0,230704058;0,42287802
ZCCHC14;0,885900243;0,189992966;0,21713173;1,111335514;0,266423958;0,464094451
SYVN1;0,268059318;0,189976192;0,343586526;1,053332033;0,292188842;
MILL2;0,16312143;0,189917054;0,434542793;0,913626672;0,360913046;
GALNT11;0,698127774;0,189883506;0,225272641;1,134836561;0,256443804;0,453466813
FAM13A;0,10509814;0,189846371;0,536835958;0,733852793;0,463038461;
XPA;0,22470787;0,189768994;0,362233524;1,089590008;0,275893786;
CDR2L;0,367229384;0,189671876;0,349725013;0,981750423;0,326222818;0,528421419
POLD3;0,295524012;0,189590071;0,346523163;1,00484436;0,3149718;
UBE4A;0,447484801;0,189479153;0,285282793;1,105876243;0,268780089;0,466516521
RNF185;0,443048528;0,189367131;0,272349806;1,162213702;0,24514867;0,440898535
MFSD14B;0,815015263;0,189333409;0,223428281;1,101106327;0,270850384;0,469322896
TEX264;0,40626389;0,189306918;0,279681205;1,168818973;0,242476575;0,437867582
ELMOD3;0,147580571;0,189250638;0,426489508;0,912126646;0,361702053;
NDE1;0,444448652;0,189130528;0,274608428;1,150660039;0,249872123;0,445668503
THAP4;0,29392295;0,188883963;0,351041435;0,958071891;0,338026508;
TBC1D17;0,242557881;0,188825406;0,35552022;1,023742991;0,305956684;
BBIP1;0,794990272;0,188814351;0,219630729;1,132887993;0,257261293;0,454265819
PITX1;0,7183209;0,18876002;0,243510438;1,081346516;0,279543003;0,48002332
MEX3C;0,829805509;0,188735435;0,239378479;1,143743079;0,252730202;0,449440251
IFNGR2;0,223662223;0,188735012;0,334347681;1,085910422;0,277518625;
H2AFY;0,948474515;0,188677085;0,212396908;1,156213691;0,247593761;0,443242779
B2M;2,681105243;0,188567831;0,160458624;1,37017273;0,170632989;0,349517695
MEGF9;0,774911909;0,188549462;0,231133288;1,105525232;0,268932067;0,466649721
SAP30;0,143127474;0,188503206;0,479786303;0,851166297;0,394676982;
FAM129B;1,7557989;0,188281125;0,192386781;1,216519567;0,223787062;0,41444078
SCARB1;1,074727567;0,1882288;0,235311299;1,120891927;0,262333868;0,459890749
ZC3H15;1,557852177;0,187992736;0,175611912;1,262356409;0,206820567;0,39434296
TBC1D1;1,681851415;0,187943545;0,186251285;1,194565579;0,232256805;0,424622446
COPA;3,866690001;0,187802645;0,109570506;1,847271878;0,064707747;0,178200095
RAB2A;5,091583698;0,187643636;0,119356471;1,722752185;0,084933349;0,215525312
NUP210L;0,486259965;0,187564174;0,325933263;0,976739168;0,328698299;0,531297183
ZFP469;0,394303701;0,187516183;0,272061179;1,147825708;0,251040522;0,447350466
HSPD1;1,510777875;0,187408909;0,164808972;1,330324383;0,183411417;0,367059188
SNX12;0,46915285;0,187297963;0,267698467;1,155345784;0,247948854;0,443367381
TOX;1,021097203;0,187262991;0,329671544;1,12318494;0,261358957;0,459385017
GNAI1;0,127627972;0,18714747;0,508779879;0,727385543;0,466989808;
MAF1;0,214318977;0,187021339;0,369246791;1,030092052;0,302966796;
GRIK3;0,692128918;0,186708374;0,217004764;1,170443607;0,241822496;0,437160653
BBX;3,185787723;0,186378834;0,17101031;1,271762559;0,203457496;0,391005105
ARID4B;3,492892415;0,186343781;0,163531241;1,336553155;0,181368539;0,364174507
MPRIP;2,416600066;0,18629398;0,176189986;1,246401144;0,212617162;0,40157428
SDHAF3;0,236469585;0,186195624;0,376882244;0,895824869;0,370346305;
JPT2;0,355977642;0,186042829;0,285398516;1,149083079;0,250521725;0,446682249
HACE1;0,385953599;0,1859421;0,288238596;1,107497108;0,268079062;0,466041056
KCNAB1;0,132275896;0,185855259;0,506106696;0,742955569;0,457508581;
HELZ;1,345072805;0,18576292;0,173492071;1,264779852;0,205950256;0,393514154
SLC35B2;1,24905949;0,185701183;0,171421135;1,287287948;0,197993943;0,384204823
NFKBIZ;2,702497337;0,185575506;0,200301549;1,144481328;0,252424077;0,44904306
CEP76;0,207764988;0,185484007;0,451952019;0,744676856;0,456467094;
CBR3;0,074131365;0,185415377;0,596791292;0,653633414;0,513348012;
GIMAP6;0,079433997;0,185409717;0,546647324;0,575648781;0,564852602;
SEC14L1;1,279218905;0,185401083;0,210972754;1,151118556;0,249683465;0,445624658
HDAC5;0,234175631;0,185382017;0,391690705;1,112926767;0,265739883;
CTDNEP1;0,74194535;0,185376554;0,206457171;1,175689006;0,239719173;0,434761475
U2SURP;1,175348959;0,185339917;0,180887686;1,266109653;0,205473827;0,39322348
NFKBIB;0,131612061;0,185138923;0,438266752;0,863089467;0,388088279;
DCUN1D4;0,269120474;0,185068195;0,381309591;1,080576808;0,279885404;
CDK1;0,503268199;0,185055033;0,514281783;1,289774726;0,197128885;0,383808336
DDR2;2,434460666;0,184818576;0,183153008;1,213939614;0,224770784;0,415187663
GXYLT1;0,464521746;0,184763663;0,268921801;1,159441545;0,246276251;0,441727195
PLXNA1;0,150430501;0,184760624;0,414972036;0,986783737;0,323748669;
STARD3NL;0,23318575;0,184674693;0,334529985;1,10473862;0,269272864;
NDUFS7;0,725106287;0,184545546;0,212808042;1,141059712;0,253845075;0,450024431
THNSL2;0,127772449;0,184445684;0,453724455;0,796965499;0,425471069;
CDC37L1;1,12403991;0,184325578;0,188284016;-0,604938926;0,545219578;0,721545555
TMTC4;0,325937065;0,184278629;0,330585492;0,990471105;0,321943906;0,525246823
MOB3C;0,146520276;0,184153042;0,433449136;0,833096713;0,404790187;
JADE2;0,32959637;0,18407204;0,314021588;1,128687261;0,259029785;0,456221442
CX3CL1;0,120463137;0,183917861;0,476326452;0,833537127;0,404541868;
PCMT1;0,8798263;0,183862247;0,209026627;1,151045866;0,249713367;0,445624658
SLC25A3;4,770921907;0,183521838;0,101377575;1,926070219;0,054095607;0,158759879
MRPL9;0,158631738;0,183443284;0,416484531;1,009317457;0,31282241;
CCNE1;0,084906956;0,183404649;0,540834397;0,660823007;0,508725826;
TBC1D32;0,365640862;0,183331213;0,311315461;1,098068211;0,272174705;0,470579393
ATF2;1,678189856;0,183085901;0,236920245;1,050547968;0,293466249;0,494711625
DNTTIP2;0,237686212;0,183063833;0,329455827;1,092428644;0,274644739;
UBE2E2;3,68377065;0,182969336;0,167239099;1,286733398;0,198187228;0,384370609
PDGFRB;0,382773638;0,182858488;0,301019591;1,069336989;0,284917849;0,485305642
PTDSS1;0,54673445;0,182847696;0,242632519;1,115394466;0,26468142;0,462764137
LAPTM4A;6,058471795;0,182811267;0,094614402;2,038361326;0,041513811;0,130772715
KDM3A;0,747462493;0,182804609;0,270049767;1,078862484;0,280649035;0,480547994
MRPL3;0,297490143;0,182551623;0,302195872;1,170377362;0,241849142;
NABP2;0,417425282;0,18255143;0,265668566;1,123643405;0,261164335;0,459199787
PAPOLA;2,187389628;0,182447041;0,16156775;1,305682232;0,191660643;0,377248388
STARD7;0,386090307;0,18242378;0,273734037;1,143245311;0,252936754;0,449440251
SURF1;0,298985348;0,182304778;0,305970619;1,151061544;0,249706917;
STIM2;1,10032017;0,182205398;0,21664379;1,078859134;0,280650529;0,480547994
SNAPC3;0,401151053;0,18214972;0,289602905;1,122139998;0,26180292;0,459547403
SCAF8;1,232171928;0,181955227;0,227976252;0,976080626;0,329024511;0,531297183
LRRC41;0,568327657;0,181713822;0,251188076;1,140026547;0,254275241;0,450401425
SMC2;0,533896549;0,18164053;0,409955583;1,18936942;0,234294329;0,427692145
PRMT2;0,100683368;0,181608758;0,495159543;0,670617978;0,502463927;
MLLT1;0,234272384;0,181398748;0,3428971;1,105429271;0,268973626;
CDIPT;0,536764513;0,181328656;0,248952996;1,166392027;0,24345598;0,438743415
STXBP5;1,278664374;0,181226138;0,199643178;1,136832946;0,255608128;0,452117793
VWA5A;0,394540148;0,181213811;0,285185704;1,138070285;0,255091135;0,451589094
GEMIN6;0,10216367;0,181168898;0,466166946;0,753779129;0,450981858;
TTC7;0,627465916;0,18114287;0,251748047;1,074131452;0,28276377;0,482695393
MAN2B1;0,150583181;0,181101971;0,432914306;0,737220217;0,460988441;
SCN2A;0,19148325;0,181067738;0,408351812;0,801544242;0,422816642;
RDH5;0,602347275;0,181060555;0,218625021;1,127524701;0,259520703;0,456878701
PRRX2;0,125530401;0,181038132;0,501456108;0,810570614;0,417612298;
MORC4;0,159825134;0,18102838;0,427580172;0,814786524;0,415194516;
GM4737;0,124118896;0,180981068;0,440123332;0,774831027;0,438439512;
CD151;0,306604078;0,180961529;0,2971406;1,190787657;0,233736956;0,427051167
SLC4A2;0,414409625;0,180948256;0,266525724;1,11108777;0,266530571;0,464094451
GOPC;0,404200494;0,180785962;0,272907532;1,116360648;0,264267791;0,462171035
PPFIBP2;0,078081365;0,180704283;0,574820424;0,623942742;0,532665189;
TBL3;0,124796524;0,18066036;0,456234252;0,949704919;0,34226221;
DIS3L2;1,02771331;0,180477786;0,223890742;0,956773947;0,338681365;0,542199804
DRAM1;0,142190665;0,180439981;0,448179806;0,761054418;0,446624564;
TPGS2;0,206486083;0,180416887;0,387565534;0,963873527;0,335109338;
TENM3;14,72258044;0,18031821;0,180898737;1,214136448;0,224695624;0,415187663
FAM120A;2,053405597;0,180310526;0,140881244;1,428693761;0,153092272;0,326199973
XYLT2;0,138120876;0,180265329;0,416501488;0,908743737;0,363485412;
ATP5A1;3,181755004;0,180257387;0,10755589;1,791329052;0,073240507;0,194378163
CETN2;0,644374394;0,180212723;0,219391282;1,10033033;0,271188222;0,469583145
POGLUT1;0,346585655;0,180033547;0,285069104;1,084660655;0,27807198;0,478499485
HNRNPA3;4,142501966;0,17985024;0,13043666;1,520409546;0,128408077;0,289220803
TBCB;0,615864015;0,179841949;0,235485951;1,06380352;0,287417716;0,487550939
ATP6V1F;1,566410283;0,179768951;0,160965656;1,311884223;0,189559202;0,374893907
NDUFA10;0,53535806;0,179699563;0,224793477;1,161805182;0,245314609;0,440959254
PRDM6;0,101584106;0,179582572;0,480899016;0,701498064;0,482992242;
FKTN;0,17952244;0,179565071;0,389803519;0,884121335;0,376630718;
POU3F3;0,493557744;0,179461581;0,263034852;1,111592026;0,266313603;0,464094451
GNB1L;0,210401523;0,17945391;0,385493762;0,902768788;0,36664862;
HDGF;1,61743085;0,179250886;0,174026121;1,215620342;0,224129581;0,414743211
GM49380;0,241360613;0,179239914;0,406515512;0,810123108;0,417869425;
ARHGAP11A;0,197344217;0,179234273;0,565472871;0,870520247;0,384016159;
SERBP1;3,009303211;0,179229071;0,12526942;1,560987411;0,118526721;0,274222716
PTPRQ;0,0844039;0,179211849;0,524333673;0,661481938;0,508303294;
ENO1;4,641336779;0,17919272;0,103831459;1,834600638;0,066564884;0,182312493
TRAPPC9;0,878771751;0,179169541;0,224868167;1,022745845;0,306428029;0,509537422
GASK1B;0,179527789;0,179086793;0,437592267;1,036313928;0,300055711;
NOLC1;0,753863774;0,179048078;0,220830824;1,080683513;0,279837919;0,480340745
HS6ST1;0,227968754;0,178979609;0,391603942;0,972087145;0,331007197;
HSD17B10;0,609927952;0,178932005;0,234541223;1,111448715;0,266375254;0,464094451
MRPS34;0,35028913;0,178904023;0,2794908;1,121660439;0,262006843;0,4597702
ARXES1;0,240587656;0,178860161;0,340522113;1,071818534;0,283801547;
SBDS;0,29275463;0,178806963;0,323618415;1,157243137;0,247173038;
TMEM242;0,398951929;0,178748432;0,249422348;1,155748739;0,247783946;0,443290925
HYPK;0,952380392;0,178730196;0,19194548;1,160021803;0,246039929;0,441722514
PSMD4;0,854728533;0,178725554;0,193561381;1,173212426;0,24071063;0,435818838
PLPP7;0,064824271;0,178648586;0,591980191;0,544324614;0,586218112;
NDUFA4;4,561378579;0,178643476;0,108443218;1,75428048;0,079382459;0,205030673
WDR18;0,101938309;0,178635046;0,464702579;0,748596737;0,454100299;
RCOR1;0,71761605;0,178615204;0,238038094;1,079597558;0,28032143;0,480547994
EIF1AD;0,23785113;0,178521006;0,329557718;1,064665148;0,287027487;
AMFR;1,45160092;0,17839934;0,152243702;1,349984;0,177021115;0,358193866
ICE1;0,376207054;0,178272247;0,28820891;1,129551406;0,258665297;0,455967317
CAPZA2;1,67474887;0,17818936;0,158946097;1,291571591;0,196505548;0,38337995
SAP18B;0,370595094;0,178080436;0,274692517;1,113999464;0,265279416;0,463418373
MRPL33;2,39200671;0,17793839;0,130799686;1,509946155;0,131057164;0,292640943
CITED1;0,073866916;0,177732249;0,709445022;0,62024882;0,535093985;
2410004B18RIK;0,182932644;0,177631473;0,403375358;0,889534332;0,373715981;
ERAP1;0,160848776;0,177620255;0,418327606;0,943593416;0,345377458;
KIDINS220;1,260627685;0,177494684;0,231039369;1,106437979;0,268536995;0,466354993
NFYC;0,817504861;0,177399048;0,216070023;1,089218951;0,276057344;0,475955653
RBM3;3,317331315;0,177390568;0,123444125;1,559744629;0,118820241;0,274594992
TM9SF3;4,45356699;0,177329263;0,104361143;1,813483995;0,069757205;0,188338255
SLC35A2;1,05173032;0,177322927;0,174336491;1,223143906;0,221275348;0,411668901
HEPH;0,239068113;0,177298799;0,322730556;1,089181927;0,276073667;
RALGAPA1;2,428892554;0,177297584;0,177820618;1,141965516;0,253468354;0,449741621
FAM98A;1,084819926;0,177294376;0,184950947;1,176328451;0,239463651;0,434447488
AMD2;0,402421471;0,177292755;0,269534452;1,146081531;0,251761419;0,448120898
TVP23B;0,968413781;0,177191195;0,195651184;1,166476655;0,243421782;0,438743415
HNRNPH2;1,264929867;0,177032058;0,176530974;1,210269299;0,226175574;0,416914738
MAVS;0,093073901;0,177013254;0,534751337;0,586245606;0,557710478;
SLC30A6;0,238060747;0,17696293;0,344939738;1,057068474;0,290480338;
FCHO2;2,359775974;0,17690717;0,19002908;1,001839838;0,316420953;0,520611552
NDUFA8;1,0206939;0,176817823;0,171848241;1,224573286;0,220736038;0,411158102
FTH1;12,81821184;0,176606971;0,111092882;1,708682976;0,087509689;0,220300743
CPEB4;2,079168082;0,176478825;0,198202329;1,059339236;0,289445312;0,489927596
PAGR1B;0,1995001;0,176461326;0,368434476;0,917461832;0,358900685;
DNAJC1;5,290291602;0,176434276;0,160170992;1,306462602;0,191395289;0,37699428
SLC38A6;0,348581299;0,176309874;0,322636178;1,166083473;0,243580698;0,438840863
ARPC1A;0,778549727;0,176232342;0,21385071;1,098324744;0,272062711;0,470579393
ZFP282;0,29812333;0,176155636;0,345285605;0,993859913;0,320291073;
NAGLU;0,21838231;0,17604045;0,363639083;1,025427005;0,305161751;
FBXO31;0,22062111;0,175939894;0,390344768;0,886324074;0,37544292;
NAA35;0,54725322;0,175882618;0,249197738;1,056016331;0,290960754;0,491555127
CD276;0,499651671;0,175746359;0,255989033;1,145670712;0,251931427;0,448295051
TRAF7;0,397188475;0,175725291;0,259730793;1,120741671;0,262397839;0,459890749
CCSER2;1,034062443;0,175712155;0,203260408;1,143549691;0,252810436;0,449440251
PAIP1;0,720623536;0,175584538;0,242121097;1,011555851;0,311750464;0,515361637
6330403K07RIK;0,073702133;0,175576136;0,829938075;0,548743191;0,583181701;
CTSK;0,916742087;0,175575628;0,202825566;1,131281642;0,257936569;0,454940933
POFUT1;0,525657116;0,175357641;0,241370604;1,121225705;0,262191801;0,459890749
JAGN1;0,260923494;0,175323266;0,3035378;1,14604315;0,251777298;
PIP5K1B;0,17727552;0,175254541;0,389879905;0,892760729;0,371985321;
FEM1C;0,56707335;0,175074723;0,242662757;1,111440033;0,266378989;0,464094451
PNRC1;2,915829234;0,175050351;0,15090239;1,321346398;0,18638589;0,370861354
MAP7D3;0,588580943;0,175027228;0,289569514;1,025003727;0,305361429;0,508553672
PRKG2;1,254615958;0,175020495;0,315506006;0,7027888;0,482187378;0,672932403
ZCWPW2;0,314015526;0,174923025;0,397387968;0,694416181;0,487421249;0,676020384
LRFN4;0,206843994;0,17484184;0,357064197;1,065159406;0,2868038;
PDCL;0,440429451;0,174758611;0,264554049;1,115209959;0,264760459;0,46277208
WBP4;0,625752395;0,174704701;0,223721732;1,075600089;0,282106148;0,481970129
METTL5;0,189900897;0,174590701;0,396679897;0,852408896;0,393987184;
SETD1B;0,356717131;0,174580103;0,275986815;1,125143392;0,260528276;0,458211113
MMS22L;0,276570261;0,17454816;0,453290109;0,539342266;0,58965071;
RASSF3;0,446036961;0,174036207;0,309068925;0,973155004;0,33047627;0,532948751
ELP2;0,276145616;0,174027157;0,306637986;1,078699444;0,280721733;
HSPA2;0,198865763;0,173855177;0,385932127;0,939682719;0,347380332;
HSPE1;4,057170501;0,173805602;0,111207128;1,668818276;0,0951534;0,234003531
ATP1A1;3,933183767;0,173674861;0,133855348;1,449685556;0,147146225;0,317717189
MTMR6;0,592285196;0,173470971;0,244280332;1,027013053;0,304414318;0,507656843
C1QTNF12;0,27609767;0,173380165;0,327068954;1,062993507;0,287784896;
CUL5;0,585194922;0,173366297;0,235790692;1,106740498;0,268406141;0,466258094
COMMD7;0,278463604;0,173347783;0,32942717;1,095540106;0,273280085;
RECQL5;0,171134427;0,173282651;0,432397939;0,782015373;0,434205539;
SGSM2;0,457745589;0,173137698;0,27366459;1,083041189;0,278790141;0,479336938
MLF2;0,858666522;0,173100056;0,190677255;1,146389075;0,251634201;0,448066574
NME7;0,326363834;0,173096119;0,33917565;0,834925686;0,403759551;0,605103579
DR1;0,337161066;0,173065399;0,283892355;1,067722016;0,285645924;0,485746641
INTS9;0,288343281;0,172836706;0,346283726;0,974091581;0,330011069;
CC2D2A;0,323264101;0,172787533;0,324108322;1,043617072;0,296662591;0,498698093
SIKE1;0,414055306;0,172725591;0,308681434;0,965003762;0,334542927;0,537330041
SPCS3;0,490999917;0,172682532;0,240678729;1,084414681;0,278180977;0,478554481
CDS1;0,140068871;0,172673844;0,467329672;0,893621627;0,371524371;
METTL15;0,552416613;0,172659113;0,309248355;0,945244482;0,344534075;0,548780942
COPS6;0,676581295;0,172653696;0,203077314;1,122132984;0,261805902;0,459547403
RAB8A;0,478675403;0,172599327;0,248490768;1,114098802;0,265236803;0,463418373
CDK2;0,148879655;0,172574011;0,429603132;0,838850448;0,401553237;
PFDN2;0,875980836;0,172341077;0,182058626;1,167415952;0,243042432;0,438564901
PLA2G12A;0,139767695;0,172332687;0,411015764;0,863256466;0,387996474;
WBP1;0,088747355;0,172122976;0,5098683;0,715295648;0,474426377;
TMEM147;0,826266905;0,172069468;0,195779492;1,112098251;0,266095908;0,464094451
SLC25A51;0,488874051;0,171919791;0,259077058;1,040342325;0,298180887;0,500621532
SUSD6;1,082119495;0,171781984;0,217705983;-1,375254392;0,169052591;0,348194527
LACTB;0,135980597;0,171724403;0,462345311;0,830390616;0,406317969;
NUP155;0,207352975;0,171708403;0,381381151;0,92192887;0,356565679;
RRBP1;10,15128036;0,171697933;0,105956792;1,744057873;0,081148999;0,208304786
CEP19;0,127849975;0,171665533;0,431646259;0,726010494;0,467832337;
RREB1;1,007528604;0,171437044;0,242385711;0,927123849;0,353862235;0,558341937
CDC42SE1;1,111452816;0,171425697;0,203480822;1,058153037;0,289985678;0,490595231
TRIAP1;0,175595784;0,171331232;0,37994447;0,885345096;0,375970535;
ETNK1;1,647433973;0,171287334;0,167259826;1,180316516;0,237874352;0,432701456
NCK2;1,186773367;0,171190116;0,221326986;0,93153855;0,351575053;0,555733535
NIPBL;3,733112091;0,171036874;0,141017834;1,366825246;0,171680088;0,350353713
MAGI1;0,408986363;0,171021713;0,366908714;0,88934421;0,373818118;0,577768493
PPP1R14B;1,114963806;0,170989838;0,168599273;1,206585643;0,227591759;0,418903705
MRC2;2,675249431;0,170980774;0,1423774;1,364330932;0,172463435;0,351420629
ELN;0,071602394;0,17086765;0,518191888;0,652104243;0,514333927;
PRMT1;0,70842826;0,170779932;0,207623543;1,077835365;0,281107234;0,480924852
RMDN1;0,368286212;0,170677351;0,290801584;1,16128724;0,245525107;0,441192353
CDC14A;0,478163004;0,170522533;0,306189964;1,013310398;0,310911922;0,514761424
CHRD;0,160754351;0,170512253;0,451721388;0,690037086;0,490170866;
CDC16;0,963895771;0,170281803;0,187335386;1,122872766;0,261491536;0,459385017
FAM20A;0,058540338;0,169918732;0,819529446;0,494497921;0,620954574;
INHBA;0,093904456;0,169730408;0,63662823;0,668534217;0,503792648;
IDE;2,877356119;0,169675725;0,107841774;1,683458976;0,092286275;0,229404697
OGN;2,332138526;0,169566121;0,268605552;0,95201805;0,341087828;0,544968515
RAB34;0,682033359;0,169449057;0,221805889;1,079610125;0,280315831;0,480547994
ANKRD35;0,226066443;0,169248238;0,353879764;0,902254926;0,366921463;
GPR63;0,194900583;0,168990819;0,430680528;1,026821123;0,304504701;
CTPS;0,275167809;0,168934233;0,360700933;0,971173701;0,331461788;
DNAJC30;0,193117152;0,168686068;0,377816014;0,992159493;0,321119729;
MRPS33;0,881169408;0,168593738;0,188709585;1,116815229;0,264073336;0,462171035
MAPK8IP1;0,231364615;0,168582353;0,354889149;0,912488016;0,361511875;
INO80E;0,366700853;0,168568895;0,275998972;1,110155951;0,26693183;0,464441954
PODN;0,120315764;0,168543504;0,50962675;0,768771692;0,442028857;
BLOC1S4;0,202256985;0,168284117;0,371910287;1,013141744;0,310992462;
FAM234A;0,406396418;0,168111012;0,273429951;1,170049485;0,241981055;0,437226968
UBXN2A;0,553567465;0,168047554;0,237617612;1,063640022;0,287491805;0,487550939
DMPK;0,122736654;0,167679612;0,470173032;0,692585122;0,48856995;
TMCC1;2,413191777;0,167591235;0,166766922;1,1650664;0,243992116;0,439454632
NOL7;1,046869182;0,167563856;0,1766825;1,140439766;0,254103134;0,450224948
ASPH;1,237551289;0,167349345;0,182141197;1,06685317;0,286038144;0,486185426
CCDC59;0,750737627;0,167218214;0,21310016;1,04521488;0,295923668;0,498043301
SNRNP27;1,025427138;0,167020193;0,192044081;1,097127983;0,272585449;0,470884541
MDFIC;0,646776402;0,167010418;0,273328394;0,957072059;0,338530886;0,542138144
DDB1;1,824850529;0,166838781;0,135675533;1,369704648;0,170779117;0,349663769
MACROD1;0,189864455;0,166742164;0,383456487;0,906106444;0,364879515;
ZFP354C;0,962598373;0,166741178;0,19426298;1,082699466;0,278941841;0,479465057
PEX5;0,432265904;0,166597212;0,292175828;0,859983847;0,389797947;0,592028311
SLC4A7;1,743165274;0,166274679;0,225497836;0,869480845;0,384584181;0,58772701
EEF1AKMT2;0,406174205;0,166241854;0,258177724;1,056160316;0,290894978;0,491555127
COA6;0,285503599;0,166215526;0,322780714;1,069830324;0,28469569;
ZFP101;0,289063607;0,166175721;0,350244834;0,911522473;0,36202015;
DPP3;0,273059906;0,165908195;0,31033561;1,108559599;0,267620215;
PLCG2;0,833961792;0,165871784;0,278727706;0,625387263;0,53171692;0,710328066
USB1;0,101478453;0,16574777;0,467350519;0,714999534;0,474609331;
NEDD8;2,226061725;0,165741046;0,122439322;1,477463668;0,13955139;0,30545921
PROX1;0,273758003;0,165728722;0,426194886;0,53252385;0,594363228;
WWOX;7,07882521;0,165726438;0,203948146;1,04254317;0,297159922;0,499312262
AGO2;1,225881426;0,165646331;0,198217366;1,032268298;0,301946448;0,504353679
NSUN6;0,478305961;0,165449839;0,276363324;0,967355131;0,333366532;0,536078927
CDC40;0,364673262;0,165367528;0,313721831;1,078807493;0,280673554;0,480547994
AKAP11;0,768603615;0,165360131;0,236299714;0,989688079;0,322326603;0,525246823
ORC2;0,317325711;0,165356356;0,317565928;1,060043699;0,289124719;0,489722427
TRPC4AP;1,331990431;0,165245063;0,165410484;1,185130602;0,235965813;0,430237638
07-Sep;3,477564286;0,165046805;0,128771915;1,415332601;0,156971001;0,331737812
CPXM1;0,577539058;0,165010431;0,277134779;1,085485051;0,277706881;0,478136127
SDHA;0,950665025;0,164845426;0,181169422;1,118816572;0,263218401;0,460984692
KPNA3;0,666000748;0,164758707;0,243458186;0,994437472;0,320009933;0,524752518
TOP2A;1,594964179;0,164746501;0,491589621;1,880784444;0,060001247;0,170195318
TCTN1;0,122630518;0,164735371;0,430377062;0,826980354;0,408248197;
PRELID3B;0,339191036;0,16447916;0,292804517;0,990918596;0,321725331;0,52524514
PLOD2;22,25122316;0,164446987;0,118504679;1,507163493;0,131768755;0,293912929
ATP8B2;1,082813568;0,164422242;0,190666656;1,069388085;0,284894834;0,485305642
B230217C12RIK;0,231324425;0,164380255;0,430420452;0,637736977;0,523644911;
CTBP1;0,953448287;0,164297447;0,201788038;1,061811983;0,288321049;0,488823787
SEC23A;1,727666266;0,164154762;0,152625408;1,233092357;0,217541309;0,407160774
SNIP1;0,103744455;0,164108577;0,469032511;0,685396658;0,493093652;
KCNMB4;0,068351116;0,16396732;0,710822648;0,538821939;0,590009724;
PEX12;0,140251493;0,163908355;0,430444757;0,839282659;0,401310712;
ADI1;0,215749349;0,163694462;0,357800622;0,951899996;0,341147701;
HDAC1;0,747907307;0,163673916;0,212324547;1,030311347;0,302863874;0,505478341
RBM26;1,847868745;0,163636941;0,180472642;1,068400348;0,28533996;0,485746641
TBC1D23;1,108234023;0,163536372;0,193970899;1,044141198;0,296420068;0,498473595
PLP2;0,325749483;0,163504705;0,310509603;1,048228099;0,294533527;0,496241463
GINS2;0,121717784;0,163456234;0,445076933;0,757552253;0,448719074;
RNF20;0,380649338;0,163362575;0,2772119;1,044932643;0,296054102;0,498127866
SENP1;0,398951624;0,163329071;0,259257427;1,059553447;0,289347802;0,489896033
HERC2;1,305589979;0,163135437;0,201565322;1,009310874;0,312825567;0,516553009
RAP1B;2,602958752;0,163041907;0,160967789;1,179069409;0,238370538;0,432970112
CCDC102A;0,101760195;0,162802523;0,468574828;0,671008419;0,502215166;
TRAK1;1,450800789;0,162463244;0,22439859;0,82767239;0,407856059;0,609185343
ZW10;0,249549197;0,162433561;0,348921266;1,082775272;0,278908184;
TMEM127;0,459742944;0,162309571;0,277687497;1,068179502;0,285439549;0,485746641
SUMF1;0,234508537;0,162252532;0,325202436;1,04781512;0,294723795;
PYCR1;0,583734032;0,162171983;0,214595124;1,036592891;0,299925628;0,502341375
USP46;0,226924892;0,162129654;0,368548328;0,838113891;0,401966742;
ZDHHC18;0,261729143;0,162034218;0,326403654;1,079445604;0,280389131;
ZFP973;0,264982403;0,161927778;0,401869513;0,735494236;0,462038549;
FAM25C;0,11915464;0,161848848;0,51906567;0,662317819;0,507767559;
ABHD13;0,230011327;0,161770746;0,349178203;1,025776117;0,304997126;
CEP68;0,302715828;0,161675737;0,324544738;0,875885487;0,38109229;0,583952961
ARFIP2;0,386870426;0,161395403;0,283483558;1,049834058;0,293794414;0,495130466
NUDC;0,903213988;0,161356528;0,206523574;1,019846086;0,307801462;0,511246707
NSD3;3,394485748;0,161320485;0,183588216;1,038999581;0,298804931;0,501262822
B4GALNT3;0,640579426;0,161303141;0,318226612;0,688072679;0,491407014;0,67866171
CCDC93;0,206372633;0,16115096;0,425445283;0,691002812;0,489563774;
MCC;3,653479088;0,161033096;0,208708298;0,992351905;0,321025892;0,524937367
VPS4A;0,320306167;0,161005877;0,29383553;1,084116442;0,278313173;0,478649345
PRPF6;0,659355805;0,160999267;0,231094064;1,046808103;0,295188092;0,497209444
TMEM179B;0,389157481;0,160972257;0,259254695;1,078710608;0,280716755;0,480547994
TBC1D20;0,465264722;0,160897158;0,246914284;1,068038669;0,285503069;0,485746641
PSENEN;1,451288396;0,160817154;0,152854383;1,221121443;0,222040042;0,41259729
ADPRM;0,110749586;0,16077545;0,444824397;0,697610937;0,48542054;
UNC119B;0,312947826;0,160766996;0,279840146;1,086162064;0,277407298;0,47775274
TRUB2;0,092537519;0,160741343;0,46351542;0,709360852;0,478100575;
POLE3;0,42324411;0,160718316;0,254400639;1,036024978;0,30019049;0,502501569
STAG1;5,812218772;0,160627829;0,159984902;1,183357391;0,236667536;0,430758493
