nct,n,child,known_growth_drug,n_growth_reported,intervention,condition,first_reported_growth_outcome,title
NCT02452931,64,True,True,9,Leuprolide Acetate 45 mg,"Precocious Puberty, Central",Changes in Height Velocity (Growth Rate),Study of Leuprolide Acetate Injectable Suspension in the Treatment of Central Precocious Puberty
NCT04032041,30,False,False,9,"Structure Sensor, Caliper",Foot Injuries and Disorders,Foot Height (Minimal Detectable Change [MDC]),SCANREP: Reliability of 3D Lower Limb Scanning
NCT03268811,9,True,False,9,Teduglutide,Short Bowel Syndrome,Change From Baseline in Height For Age Z-Score at EOT of Cycle 1 During Teduglutide Treatment,A Study in Japanese Children With Short Bowel Syndrome Who Completed SHP633-302
NCT01500551,302,True,False,8,"Tofacitinib, Tofacitinib",Juvenile Idiopathic Arthritis,Absolute Value of Height at Baseline,Long-Term Safety Study Of Tofacitinib In Patients With Juvenile Idiopathic Arthritis
NCT00355030,91,True,True,8,"somatropin, leuprorelin",Idiopathic Short Stature (ISS),Adult Height Standard Deviation Score (SDS),Somatropin + Leuprorelin vs Somatropin Alone in Pubertal Children With Idiopathic Short Stature
NCT03583697,75,True,False,8,"BMN 111, Placebo",Achondroplasia,Change From Baseline in Height Z-score at Week 52.,A Clinical Trial to Evaluate the Safety and Efficacy of BMN 111 in Infants and Young Children With Achondropla
NCT00278915,30,True,False,8,Fulvestrant,"Puberty, Precocious, McCune-Albright Syndrome",Change in Rate of Bone Age (BA) Advancement Over First 6-month Treatment Period Compared to Baseline,Faslodex in McCune-Albright Syndrome
NCT00174187,30,True,True,8,Somatropin,Endocrine System Diseases,Change From Baseline in Height Standard Deviation Score According to Chronological Age (SDS/CA) at Year 3,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term C
NCT00094328,14,True,True,8,"Bicalutamide, Anastrozole","Puberty, Precocious",Change in Growth Rate (cm/Year),Pediatrics Testotoxicosis Study [Bicalutamide Anastrozole Treatment for Testotoxicosis]
NCT01302080,941,True,False,7,"sertraline, psychotherapy",Obsessive Compulsive Disorder,Change From Baseline in Height at Month 3,Sertraline Pediatric Registry for the Evaluation of Safety (SPRITES)
NCT05659719,248,True,False,7,Recifercept,Achondroplasia,Mean Height Growth at Month 3,A Study to Learn About Recifercept in Patients With Achondroplasia
NCT00125190,45,True,True,7,rhIGF-1 (mecasermin) for a period of 86 weeks,"Insulin-Like Growth Factor-1 Deficiency, Growth Disorders",Height Velocity From Pretreatment (Week 0) to Week 34,Recombinant Human Insulin-Like Growth Factor (rhIGF-1) Treatment of Short Stature Associated With IGF-1 Defici
NCT06067425,16,True,False,7,SAR442501,Osteochondrodysplasia,Stage 1: Change From Baseline to Weeks 26 and 52 in Growth Velocity Z-Score,"Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SAR442501 in Pediatric Participants "
NCT00184717,98,True,True,6,"somatropin, somatropin","Foetal Growth Problem, Small for Gestational Age",Change in Height Standard Deviation Score (SDS) for Chronological Age (CA) at Week 260 - Subjects Received NN220 Treatment for 5 Years,Growth Hormone Treatment in Children Born Small for Gestational Age (SGA)
NCT00001521,66,True,True,6,"Fludrocortisone, Hydrocortisone, Letrozole, Flutamide, Testolactone",Congenital Adrenal Hyperplasia (CAH),Adult Height Relative to General Population,Three Drug Combination Therapy Versus Conventional Treatment of Children With Congenital Adrenal Hyperplasia
NCT02889809,477,True,False,5,"Fluticasone furoate, Placebo, Montelukast, Short Acting Beta 2 Agonist",Asthma,"Growth Velocity (Centimeter Per Year) Over the Double-blind Treatment Period, as Determined by Stadiometry","Effects of a Orally Inhaled Fluticasone Furoate on Growth Velocity in Prepubertal, Paediatric Subjects With As"
NCT01412021,375,True,False,5,,"Arthritis, Juvenile Rheumatoid",Change From Baseline in Height at Week 4,Special Investigation (All Case Survey) in Patients With Juvenile Idiopathic Arthritis
NCT02968004,224,True,True,5,"MOD-4023, Somatropin",Pediatric Growth Hormone Deficiency,Annual Height Velocity in Main Study Phase,Safety and Efficacy Phase 3 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children
NCT03811535,200,True,True,5,"Somapacitan, Norditropin®",Growth Hormone Deficiency in Children,Height Velocity: In-trial Observation Period,A Research Study in Children With a Low Level of Hormone to Grow. Treatment is Somapacitan Once a Week Compare
NCT00106028,143,True,False,5,"risedronate sodium (Actonel), Placebo",Osteogenesis Imperfecta,"Bone Age (Years), Change From Baseline to Month 12, ITT Population",Safety and Efficacy of Risedronate in the Treatment of Osteogenesis Imperfecta in Children
NCT00125164,137,True,True,5,"rhIGF-1 (mecasermin, Tercica, Inc.)","Growth Disorders, Insulin-Like Growth Factor-1 Deficiency",Height Velocity During the First Year - Intent to Treat (ITT)Population,Prepubertal Children With Growth Failure Associated With Primary Insulin-Like Growth Factor-1 (IGF-1) Deficien
NCT00571727,92,True,True,5,mecasermin,Growth Hormone Insensitivity Syndrome,Annualized Height Velocity Up to 12 Years,Long-Term Treatment With rhIGF-1 in GHIS
NCT02616562,76,True,True,5,"somapacitan, Norditropin® FlexPro® pen","Growth Hormone Disorder, Growth Hormone Deficiency in Children","Height Velocity (HV) (cm/Year) During the First 26 Weeks of Treatment, Measured as Standing Height With Stadiometer",Investigating Efficacy and Safety of Once-weekly NNC0195-0092 Treatment Compared to Daily Growth Hormone Treat
NCT02201251,63,True,False,5,"Topiramate, Levetiracetam",Epilepsy,Change From Baseline in Height Z-score up to Month 1,A Study to Investigate the Safety of the Drugs Topiramate and Levetiracetam in Treating Children Recently Diag
NCT01859949,62,True,True,5,Genotropin (somatropin),Short Stature Born Small for Gestational Age (SGA),Height Velocity Standard Deviation Score (SDS) for Chronological Age,Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA)
NCT04638153,60,True,False,5,Recifercept,Achondroplasia,"Least Square Mean of Change From Baseline Height Growth at Month 3, Month 6, Month 9, and Month 12","A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia"
NCT02163577,52,True,False,5,burosumab,X-linked Hypophosphatemia,Change From Baseline in Growth Velocity Over Time,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 "
NCT06982937,44,False,False,5,"High-Intensity Half-Squat, Treadmill running","Neuromuscular Function, Muscle Activation, Postactivation Potentiation",Jump Height 4 Minute,"Mechanistic Drivers of Acute PAPE Responsiveness: Muscle Architecture, Contractile Kinetics, and Excitability "
NCT05116046,35,True,False,5,Recifercept,Achondroplasia,Change From Baseline in Height at Month 24,"Continuation Study of Long-term Safety, Tolerability, Pharmacokinetics and Efficacy of Recifercept in Achondro"
NCT00249821,22,True,True,5,"Saizen®, Saizen®",Small Gestational Age (SGA),Height Velocity,Optimization of the Dosage Regimen of Growth Hormone Therapy in Children Born Small for Gestational Age
NCT00174291,21,True,True,5,Somatropin,Endocrine System Diseases,Change From Baseline in Annual Rate of Growth Standard Deviation Score (SDS) at Final Height,Prevention of Growth Retardation by Early Treatment With Growth Hormone (GH) in Children With CJA Treated by C
NCT01111019,19,True,True,5,Recombinant human growth hormone (r-hGH),Hypochondroplasia,Change From Baseline in Height-Standard Deviation Score (H-SDS) of Recombinant Human Growth Hormone (r-hGH) Treated Subjects at Year 3,"Efficacy and Safety Evaluation of Recombinant Human Growth Hormone (r-hGH), Saizen®, on a Population of Childr"
NCT00097539,65205,True,True,4,"Somatrem, Somatropin",Growth Disorders,First Year Annualized Growth Rate,"National Cooperative Growth Study (NCGS): A Post-marketing Surveillance Program for Nutropin, Nutropin AQ, Nut"
NCT01088412,22845,True,True,4,Somatropin (recombinant deoxyribonucleic acid [rDNA] origin),"Growth Hormone (GH) Deficiency, Short Stature Homeobox Containing Gene",Final Height (FH) Gain by Diagnostic Group,Observational Study of Somatropin Treatment in Children
NCT00429364,608,True,False,4,"Losartan Potassium, Atenolol",Marfan Syndrome,Annual Rate of Change in Height,Comparison of Two Medications Aimed at Slowing Aortic Root Enlargement in Individuals With Marfan Syndrome
NCT03866902,578,True,False,4,"Nutrition and Physical Activity Intervention, English for Second Language Interv","Overweight and Obesity, Adiposity, Nutrient; Excess, Physical Activity",Change in Mother's Height From Baseline (Time 1) to Time 2,Healthy Mothers-Healthy Children Nutrition
NCT00396097,316,True,True,4,"Genotropin, Genotropin",Idiopathic Short Stature,Variability of Height SDS at 24 Months,"Individualized, Target-Driven Treatment Of Children With Idiopathic Short Stature"
NCT03794609,315,True,False,4,,Achondroplasia,Change From Baseline in Standing Height,Observational Study Investigating Clinical & Anthropometric Characteristics of Children With Achondroplasia.
NCT00537914,278,True,True,4,Omnitrope,Small for Gestational Age,Mean Change in Height (H) (cm) From Baseline,Safety and Efficacy of Omnitrope® (rhGH) in Short Children Born Small for Gestational Age (SGA)
NCT00827606,272,True,False,4,atorvastatin,Familial Hypercholesterolemia,Height (Centimeters [cm]) During the Study: Males,Atorvastatin Three Year Pediatric Study
NCT00234533,251,True,True,4,Somatropin (rDNA origin),"Turner Syndrome, Renal Insufficiency, Chronic, Pituitary Diseases, Dwa",Change From Baseline at Week 24 in the Auxological Parameter Height,Study to Define Optimal IGF-1 Monitoring in Children Treated With NutropinAq
NCT01109849,230,True,False,4,"behavior therapy, Extended release (ER) methylphenidate product, monitoring, dru","ADHD, Growth",Change Score for Z-height Baseline to Endpoint,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth
NCT01485614,200,True,False,4,"Sitagliptin, Metformin, Placebo to sitagliptin, Placebo to metformin, Glycemic R","Diabetes Mellitus, Type 2 Diabetes",Growth Velocity at Week 20 - Females,Study to Assess Safety & Efficacy of Sitagliptin as Initial Oral Therapy for Treatment of Type 2 Diabetes Mell
NCT01519960,165,True,False,4,"peginterferon alfa-2a [Pegasys], peginterferon alfa-2a [Pegasys]","Hepatitis B, Chronic",Percentage of Participants With >15% Drop in Height Percentile for Age in Groups A and B,A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic He
NCT00191113,154,True,True,4,"Somatropin, Ethinyl estradiol, Medroxyprogesterone acetate",Turner Syndrome,"Height Standard Deviation Score (SDS) (National Center for Health Statistics [NCHS]), Change From Baseline to Last Measurement, As Randomized Population",Somatropin Treatment to Final Height in Turner Syndrome
NCT00810043,120,False,False,4,Kyphon® Curette,Vertebral Body Compression Fractures (VCFs),Absolute Vertebral Body Height Restoration as a Percent (Post-procedure Change From Baseline),Medtronic SCORE Study - Study of Curette Use for Obtaining Restoration of Vertebral Body Anatomy in Balloon Ky
NCT00330668,114,True,True,4,rh IGF-1 (mecasermin),Growth Disorders,Height Velocity During BID Dosing Period,Treatment of Children and Adolescents With Growth Failure Associated With Primary IGF-1 Deficiency
NCT04970654,110,True,True,4,"somapacitan, Norditropin®",Growth Hormone Deficiency in Children,Height Velocity,A Research Study in Chinese Children With a Low Level of Hormone to Grow. Treatment is Somapacitan Once a Week
NCT00572156,106,True,True,4,"NutropinAq® (Somatropin [rDNA origin]), Increlex® (Mecasermin [rDNA origin] inje",Insulin-like Growth Factor-1 Deficiency,Height Velocity,rhGH and rhIGF-1 Combination Therapy in Children With Short Stature Associated With IGF-1 Deficiency
NCT04614337,104,True,True,4,"LUM-201, rhGH Norditropin® pen (34 µg/kg)",Growth Hormone Deficiency,Change in Height Standard Deviation Score (SDS),Phase 2 Study of LUM-201 in Children With Growth Hormone Deficiency (OraGrowtH210 Trial)
NCT01746862,90,True,True,4,"Saizen®, Saizen®",Idiopathic Short Stature,Change From Baseline in Height Velocity at Month 6 Using Last Observation Carried Forward (LOCF) Method,A Phase 3 Study to Evaluate the Safety and Efficacy of Saizen® in Children With Idiopathic Short Stature (ISS)
NCT03203642,80,False,False,4,"Tesevatinib, Placebo","Autosomal Dominant Polycystic Kidney, ADPKD",Change From Baseline in Height Adjusted Total Kidney Volume (htTKV) at Month 12,Study of the Efficacy and Safety of Tesevatinib in Subjects With ADPKD
NCT05029622,66,True,True,4,Triptorelin Pamoate,Central Precocious Puberty,Change From Baseline in Mean Height for Age (Z-Score),A Study to Assess the Efficacy and Safety of the Triptorelin 6-month Formulation in Paediatric Participants Wi
NCT03878446,62,True,True,4,"Somapacitan, Norditropin®",Short Stature Children Born Small for Gestational Age (SGA),Height Velocity,A Research Study in Children Born Small and Who Stayed Small. Treatment is Somapacitan Once a Week Compared to
NCT02915705,61,True,False,4,"burosumab, Oral Phosphate Supplement, active vitamin D",X-Linked Hypophosphatemia,Change From Baseline in Height-For-Age Z-Scores to Week 40,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients Wi
NCT01778023,54,True,True,4,somatropin,"Growth Disorder, Idiopathic Short Stature",Height Velocity (Ht-V),Efficacy and Safety of Recombinant Human Growth Hormone on Height Velocity in Subjects With Idiopathic Short S
NCT01467882,44,True,True,4,Triptorelin,Central Precocious Puberty,Change From Baseline in Height-for-age Z-score Per 2000 CDC Growth Charts at Months 6 and 12,"Efficacy, Safety, and Pharmacokinetics (PK) of Triptorelin 6-month Formulation in Patients With Central Precoc"
NCT00627523,43,True,True,4,"Genotropin (PN-180,307) Somatropin, Control-no treatment","Infant, Small for Gestational Age",Change From Baseline in Height Standard Deviation Score (SDS) at Month 24.,Genotropin Treatment In Very Young Children Born Small For Gestational Age
NCT00909844,35,True,True,4,Triptorelin (I.N.N.),Precocious Puberty,Auxological Parameters Variations: Height SD Score,Effects of Triptorelin Pamoate in Children With Precocious Puberty - Follow up Study
NCT02418455,8,True,False,4,UX003,"Sly Syndrome, MPS VII, Mucopolysaccharidosis, Mucopolysaccharidosis VI",Change From Baseline Over Time in Standing Height,Study of UX003 Recombinant Human Beta-Glucuronidase (rhGUS) Enzyme Replacement Treatment in Mucopolysaccharido
NCT00529373,16071,False,False,3,"Odanacatib, Placebo for Odanacatib, Vitamin D3, Calcium carbonate",Postmenopausal Osteoporosis,Base Study: Yearly Rate of Height Loss,A Study of MK-0822 in Postmenopausal Women With Osteoporosis to Assess Fracture Risk (MK-0822-018)
NCT00205777,7609,False,False,3,"Bazedoxifene Acetate, Placebo",Osteoporosis,Change From Baseline in Height at Month 36,Study Evaluating Bazedoxifene Acetate In Osteoporosis In Postmenopausal Women
NCT02028676,1206,True,False,3,"Clinically Driven Monitoring (CDM), Laboratory plus Clinical Monitoring (LCM), A",Human Immunodeficiency Virus,"LCM vs CDM, Induction ART: Height-for-age Z-score",Efficacy Study of Different Laboratory Management Strategies and Drug Regimens in HIV-infected Children in Afr
NCT01156805,509,True,False,3,Educational program,"Obesity, Food Habits, Physical Activity",Height,Assessment of an School-based Intervention in Eating Habits and Physical Activity in Schoolchildren: the AVall
NCT05616013,507,False,False,3,"Bimagrumab, Semaglutide, Placebo","Obesity, Obese, Overweight or Obesity",Percentage of Participants With Baseline Waist-to-Height Ratio (WtHR) Category of <0.5 Having Change From Baseline in Waist-to-Height Ratio (WHtR Ratio) Categories at Week 48,Safety and Efficacy of Bimagrumab and Semaglutide in Adults Who Are Overweight or Obese
NCT01419249,458,True,True,3,Blood sampling,"Idiopathic Growth Hormone Deficiency, Turner Syndrome",Change From Baseline in Height at Year 1,First Year Growth Response Associated Genetic Markers Validation Phase IV Open-label Study in Growth Hormone D
NCT00323609,404,False,False,3,"Vertebroplasty, Kyphoplasty",Vertebral Body Compression Fractures,Change in Anterior Vertebral Body Height,KAVIAR Study - Kyphoplasty And Vertebroplasty In the Augmentation and Restoration of Vertebral Body Compressio
NCT03044886,360,False,False,3,vitamin D,Chronic Peritonitis,Alveolar Crest Height (ACH),Effects of Vitamin D on Moderate to Severe Periodontitis
NCT00619957,285,False,False,3,"Placebo tablet, Risedronate",Other Osteoporosis,"Change From Baseline in Body Height, Month 12, ITT Population.",Efficacy and Safety of Risedronate Therapy Administered 35 mg Once A Week in Men With Osteoporosis
NCT00891046,270,True,False,3,Canakinumab,Systemic Juvenile Idiopathic Arthritis,Change From Baseline in Growth Velocity Parameter for Height to Last Assessment of Study,An Open-label Extension Study of Canakinumab in Patients With Systemic Juvenile Idiopathic Arthritis and Activ
NCT03022981,216,True,False,3,"SOF/VEL, SOF/VEL",Hepatitis C Virus Infection,Treatment Phase: Change From Baseline in Growth and Development as Measured by Height Percentiles,Study to Investigate the Safety and Efficacy of Sofosbuvir/Velpatasvir in Adolescents and Children With Chroni
NCT03871543,196,False,False,3,"AquaComfort Plus, Acuvue Oasys 1-Day",Visual Acuity,Tear Meniscus Height (Part1: Dailies Aqua Comfort Plus),Late Night Study 2: End-of-Day Assessment of Asymptomatic and Symptomatic Soft Lens Wearers
NCT02781727,162,True,True,3,"Once weekly subcutaneous injection of TransCon hGH, Once daily subcutaneous inje","Growth Hormone Deficiency, Pediatric, hGH (Human Growth Hormone), Endo",Annualized Height Velocity at 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,"A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children W"
NCT02667067,150,False,False,3,"Simplify Disc, Anterior Cervical Discectomy & Fusion",Cervical Degenerative Disc Disease,Average Disc Height (Index Level),Investigation of the Simplify® Cervical Artificial Disc
NCT00883129,142,False,False,3,"Mycophenolate mofetil, Cyclophosphamide, Placebo","Scleroderma, Interstitial Lung Disease","Forced Vital Capacity (FVC), as a Percent of the Age, Height, Gender, and Ethnicity Adjusted Predicted Value",Comparison of Therapeutic Regimens for Scleroderma Interstitial Lung Disease (The Scleroderma Lung Study II)
NCT02339090,138,True,False,3,"Somavaratan, rhGH",Growth Disorders,Annual Height Velocity,Long-Acting Growth Hormone in Children Compared to Daily rhGH
NCT01066052,115,True,False,3,r-hGH,Turner's Syndrome,Height SDS at Year 4,Growth Hormone Treatment for the Prevention of Short Stature in Young Girls With Turner Syndrome Before the Ag
NCT02879747,99,True,True,3,Genotropin,Short Stature,The Proportion of Children Maintaining Normal Growth Velocity,Individualizing Dose of Growth Hormone to Maintain Normal Growth Velocity After Fulfilled Catch up Growth in C
NCT01400698,91,True,True,3,"Saizen® A, Saizen® B, Observation only",Children Born With Serious Intra-uterine Growth Retardation,Final Height,Saizen in Intra-uterine Growth Retardation
NCT05598320,84,True,False,3,"Navepegritide (TransCon CNP), Placebo for Navepegritide (TransCon CNP)",Achondroplasia,Annualized Growth Velocity (AGV) at Week 52,A Clinical Trial to Evaluate Efficacy and Safety of TransCon CNP Compared With Placebo in Children With Achond
NCT00635817,84,True,True,3,"Leuprolide acetate 11.25 mg, Leuprolide acetate 30 mg","Puberty, Precocious",Change From Baseline in Incremental Growth Rate (cm/Year) at Month 6,A Study of Leuprolide 11.25 mg and 30 mg Administered Every 3 Months to Treat Central Precocious Puberty
NCT01248416,76,True,True,3,"Aromatase Inhibitor, Growth Hormone, Aromatase Inhibitor and Growth Hormone",Idiopathic Short Stature,Change in Height,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short St"
NCT00266656,69,True,True,3,Humatrope,Turner Syndrome,Most Mature Height Standard Deviation Score (SDS),Long-Term Growth and Skeletal Effects of Early Growth Hormone Treatment in Turner Syndrome
NCT01585779,64,False,False,3,"Contour 3D® implant for tricuspid valve repair, Tri-Ad® implant for tricuspid va","Tricuspid Valve Regurgitation, Tricuspid Valve Insufficiency",Change in the Degree of TV Leaflet Tethering Height,Contour 3D®/TriAd® Tricuspid Annuloplasty Ring Post-Market Clinical Trial
NCT06704178,60,True,False,3,"NuBest Tall Growth Protein Powder, Placebo Powder","Height, Cognitive Function, Weight Gain",Increase in Height,A Study to Evaluate the Effects of a Dietary Supplement on Children's Health and Development Outcomes.
NCT01592500,56,True,True,3,"MOD-4023, Somatropin",Pediatric Growth Hormone Deficiency,Annual Height Velocity,Safety and Efficacy Phase 2 Study of Long-acting hGH (MOD-4023) in Growth Hormone Deficient Children
NCT05185622,54,True,False,3,Vamorolone,Duchenne Muscular Dystrophy,Change in Height (Absolute) From Baseline to Week 12,A Study to Assess Vamorolone in Boys Ages 2 to <4 Years and 7 to <18 Years With Duchenne Muscular Dystrophy (D
NCT03874013,44,True,True,3,"MOD-4023, Genotropin",Growth Hormone Deficiency,Annual Height Velocity (HV) After 12 Months,Safety and Efficacy Study of MOD-4023 to Treat Children With Growth Hormone Deficiency
NCT00564850,37,True,True,3,Triptorelin pamoate 11.25mg (Decapeptyl® SR),Precocious Puberty,Height Standard Deviation Score (SDS),Efficacy and Safety Study of Pamoate of Triptorelin in Children With Precocious Puberty
NCT04736602,32,True,True,3,Triptorelin pamoate 15mg,Central Precocious Puberty,Change From Baseline in Auxological Parameter: Height,Efficacy and Safety Study of Triptorelin 3-Month Formulation in Chinese Children With Central Precocious Puber
NCT00191165,27,True,True,3,"Somatropin, Somatropin",Growth Hormone Deficiency,Height Velocity Standard Deviation Score (SDS) at 12-Month Endpoint,Efficacy and Safety of a High Dosage Compared to the Label Dosage of Somatropin in Early Pubertal Stage Childr
NCT02628145,25,False,False,3,"Resistance Training Intervention, Active Control Group",Sarcopenia,Muscle Mass Change: From Dual Energy X-ray Absorptiometry and Bioelectrical Impedance Analsysis - Appendicular Lean Mass (ALM in kg) Divided by Height (Meters-squared),Effects of a Resistance Training Program in Older Women With Sarcopenia
NCT03406884,25,True,False,3,c-kit+ cells,Hypoplastic Left Heart Syndrome,Change in Somatic Growth Velocity - Length (cm),The CHILD Trial: Hypoplastic Left Heart Syndrome Study.
NCT03164928,24,True,False,3,"Denosumab, Placebo",Evaluate the Safety and Efficacy of Denosumab in Pediatric Subjects Wi,"Change From Baseline in Growth Velocity Z-score (Height) at 12, 24, and 36 Months",Safety and Efficiency of Denosumab in Pediatric Subjects With Glucocorticoid-induced Osteoporosis
NCT02455622,21,True,False,3,Elaprase for intravenous (IV) infusion,Hunter Syndrome,Height Overall,Long-term Evaluation on Height and Weight in Patients With MPS II Who Started Treatment at < 6 Years of Age
NCT01243892,18,True,True,3,"NuSpin, Somatropin",Growth Hormone Deficiency,Annualized Height Velocity in Response to rhGH Treatment Using the NuSpin Device After Two Years of Treatment,A Study to Evaluate Growth in Participants Treated With Somatropin (Nutropin) Using NuSpin Device
NCT04376060,15,False,False,3,Gen-Os®; The soft lamina (OsteoBiol®),Horizontal Ridge Deficiency,Change From Baseline in Radiological Bone Height Augmentation in mm Measured Buccally,The Horizontal Ridge Augmentation Using Equine Xenograft and a Collagenated Porcine Cortical Lamina
NCT05250063,15,True,True,3,LUM-201,Growth Hormone Deficiency,Annualized Height Velocity (AHV) Measured as Standing Height With Stadiometer,Phase 2 Study of LUM-201 in Children Who Have Previously Completed the LUM-201-01 Trial (OraGrowtH213)
NCT02750618,13,True,False,3,Burosumab,X-Linked Hypophosphatemia,Change From Baseline Over Time in Recumbent Length/Standing Height,"Study of the Safety, Pharmacodynamics (PD) and Efficacy of KRN23 in Children From 1 to 4 Years Old With X-link"
NCT00866619,15459,True,False,2,"Malaria Vaccine 257049, Meningococcal C Conjugate Vaccine, Cell-culture rabies v",Malaria,"Height, Weight and Mid Upper Arm Circumference for Age Z-score (HAZ, WAZ and MUACZ)",Efficacy of GSK Biologicals' Candidate Malaria Vaccine 257049 Against Malaria Disease in Infants and Children 
NCT00120523,2418,True,False,2,"Pimecrolimus, Topical corticosteroids",Atopic Dermatitis,Growth Velocity (Height),5-Year Safety Study of Pimecrolimus Cream 1% in Infants 3 - 12 Months of Age With Mild to Moderate Atopic Derm
NCT00190684,1553,True,False,2,atomoxetine,Attention Deficit Hyperactivity Disorder,Change From Baseline to 5 Year Endpoint in Height,"Long-Term, Open Label Atomoxetine Study"
NCT02565914,1131,True,False,2,"TEZ/IVA, IVA",Cystic Fibrosis,Part A: Absolute Change in Height Z-score for 106/110 Efficacy Set,A Study to Evaluate the Safety and Efficacy of Long Term Treatment With VX-661 in Combination With Ivacaftor i
NCT00793325,920,True,True,2,Somatropin,Small for Gestational Age,Change in the Growth Rate Standard Deviation (SD) Score for Calendar Age.,Long Term Use of Somatropin in Patients Small for Gestational Age
NCT01463306,605,True,False,2,Pregabalin,"Epilepsy, Partial Seizures, Epilepsy, Primary Generalized Tonic-Clonic",Absolute Values for Body Height at Baseline,A 12-Month Study To Evaluate The Safety And Tolerability Of Pregabalin As Add-On Therapy In Pediatric Subjects
NCT05551637,600,True,False,2,Kazu Gain Gold,"Undernutrition, Wasting, Malnourished",Change in Height (cm),Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.
NCT03456336,482,True,False,2,"Active Treatment, Expectant Management","Infant, Premature, Patent Ductus Arteriosus, Infant, Newborn, Diseases",Height at Status (2 Years),Management of the PDA Trial
NCT04753697,430,True,False,2,"CC-93538, Placebo",Eosinophilic Esophagitis,Change From Baseline in Physical Parameters - Height at Week 24,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent Participants With Eosinophilic
