nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent Participants With Eosinophilic Esophagitis,CC-93538 ; Placebo,placebo,cm,Change From Baseline in Physical Parameters - Height at Week 24,,False,False,True,Induction Phase - CC-93538 360 mg QW,0.3,1.479,225,Induction Phase - Placebo,-0.08,115,0.38,,
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent Participants With Eosinophilic Esophagitis,CC-93538 ; Placebo,placebo,cm,Change From Baseline in Physical Parameters - Height at Week 48,,False,False,True,Maintenance Phase - CC-93538 360 mg QW,0.42,1.929,88,Maintenance Phase - Placebo,0.12,75,0.3,,
NCT04753697,Eosinophilic Esophagitis,A Study to Evaluate the Efficacy and Safety of CC-93538 in Adult and Adolescent Participants With Eosinophilic Esophagitis,CC-93538 ; Placebo,placebo,cm,Change From Baseline in Physical Parameters - Height at Week 48,,False,False,True,Maintenance Phase - CC-93538 360 mg Q2W,0.42,1.973,96,Maintenance Phase - Placebo,0.12,75,0.3,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 12,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,0.011,0.258,101,Group B: Untreated Control Without Advanced Fibrosis,-0.006,49,0.017,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 24,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.04,0.293,101,Group B: Untreated Control Without Advanced Fibrosis,-0.071,49,0.031,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 36,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.056,0.337,101,Group B: Untreated Control Without Advanced Fibrosis,-0.025,49,-0.031,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,Week 48,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.099,0.365,101,Group B: Untreated Control Without Advanced Fibrosis,-0.013,49,-0.086,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,FU Week 12,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.112,0.404,101,Group B: Untreated Control Without Advanced Fibrosis,-0.037,49,-0.075,,
NCT01519960,"Hepatitis B, Chronic",A Study of Pegasys (Peginterferon Alfa-2a) Versus Untreated Control in Children With HBeAg Positive Chronic Hepatitis B,peginterferon alfa-2a [Pegasys] ; peginterferon alfa-2a [Pegasys],placebo,Z,Change From Baseline in Height for Age Z-Score in Groups A and B,FU Week 24,False,False,True,Group A: PEG-IFN Monotherapy Without Advanced Fibrosis,-0.117,0.429,101,Group B: Untreated Control Without Advanced Fibrosis,-0.079,49,-0.038,,
NCT02959970,Acne Vulgaris,"Safety and Efficacy Trial of ACZONE (Dapsone) Gel, 7.5% in 9 to 11 Year-Old Patients With Acne Vulgaris",dapsone gel,active-comparator,cm,Change From Baseline in Height,,False,False,False,Non-PK Cohort: ACZONE 7.5%,1.01,1.77,83,PK Cohort: ACZONE 7.5%,0.21,17,0.8,,
NCT03874013,Growth Hormone Deficiency,Safety and Efficacy Study of MOD-4023 to Treat Children With Growth Hormone Deficiency,MOD-4023 ; Genotropin,active-comparator,cm/yr,Annual Height Velocity (HV) After 12 Months,,True,False,True,MOD-4023 Treatment Arm,9.78,1.59,22,Genotropin Treatment Arm,7.78,21,2.0,,
NCT03874013,Growth Hormone Deficiency,Safety and Efficacy Study of MOD-4023 to Treat Children With Growth Hormone Deficiency,MOD-4023 ; Genotropin,active-comparator,cm/yr,Height Velocity at 6 Months,,True,False,True,MOD-4023 Treatment Arm,10.54,2.04,22,Genotropin Treatment Arm,8.34,21,2.2,,
NCT04587271,Malnutrition ; Wasting ; Growth Failure,Nutritional Impact of Moringa Oleifera Leaf Supplementation in Mothers and Children,Moringa oleifera (high dose) ; Moringa oleifera (low dose) ; Placebo,placebo,cm,Change in Infant Height,,True,False,True,Breastfeeding Infants (Moringa),9.1,2.1,23,Breastfeeding Infants (Placebo),9.3,23,-0.2,,
NCT04185363,Progressive Familial Intrahepatic Cholestasis (PFIC),An Extension Study of Maralixibat in Patients With Progressive Familial Intrahepatic Cholestasis (PFIC),Maralixibat,active-comparator,Z,Change From Baseline in Height Z-score,,False,False,False,The Primary Cohort,0.486,0.6665,22,PFIC Cohort,0.335,47,0.151,,
NCT00319020,Pulmonary Arterial Hypertension,Bosentan in Children With Pulmonary Arterial Hypertension Extension Study,Bosentan,active-comparator,Z,Change From Baseline to End of Study (EOS) in Height for Age.,Z-score at EOS,False,False,False,Bosentan-naive Patients,-0.08,,14,Patients With Previous Bosentan,-0.74,10,0.66,,
NCT00319020,Pulmonary Arterial Hypertension,Bosentan in Children With Pulmonary Arterial Hypertension Extension Study,Bosentan,active-comparator,Z,Change From Baseline to End of Study (EOS) in Height for Age.,Z-score at EOS,False,False,False,Total,-0.36,,24,Patients With Previous Bosentan,-0.74,10,0.38,,
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type 2 ; T2D ; T2DM (Type 2 Diabetes Mellitus) ; Glucose Metabolism Disorders ; Endocrine System Diseases ; Metabolic Disease",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin or Basal Insulin or Both,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,False,False,False,5 mg Tirzepatide,-0.092,0.0275,29,Placebo,-0.11,34,0.018,,
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type 2 ; T2D ; T2DM (Type 2 Diabetes Mellitus) ; Glucose Metabolism Disorders ; Endocrine System Diseases ; Metabolic Disease",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin or Basal Insulin or Both,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,False,False,False,10 mg Tirzepatide,-0.11,0.0274,29,Placebo,-0.11,34,0.0,,
NCT05260021,"Type2 Diabetes ; Diabetes Mellitus ; Diabetes Mellitus, Type 2 ; T2D ; T2DM (Type 2 Diabetes Mellitus) ; Glucose Metabolism Disorders ; Endocrine System Diseases ; Metabolic Disease",A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin or Basal Insulin or Both,Tirzepatide Dose 1 ; Tirzepatide Dose 2 ; Placebo,placebo,Z,Change From Baseline in Height Standard Deviation Score (SDS),,False,False,False,"Pooled Doses of Tirzepatide (5mg,10mg)",-0.1,0.0194,58,Placebo,-0.11,34,0.01,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),Before intervention (T0),False,False,True,Specific Intervention Group,98.62,7.86,298,Control Group,98.34,299,0.28,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),After 1 month (T1),False,False,True,Specific Intervention Group,99.14,7.88,298,Control Group,98.88,299,0.26,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),After 2 months (T2),False,False,True,Specific Intervention Group,99.96,7.92,298,Control Group,99.68,299,0.28,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),After 3 months (T3),False,False,True,Specific Intervention Group,100.35,7.88,298,Control Group,99.95,299,0.4,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),Difference between T1 - T0,False,False,True,Specific Intervention Group,0.52,0.69,298,Control Group,0.54,299,-0.02,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),Difference between T2 - T0,False,False,True,Specific Intervention Group,1.34,0.75,298,Control Group,1.32,299,0.02,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,cm,Change in Height (cm),Difference between T3 - T0,False,False,True,Specific Intervention Group,1.73,0.85,298,Control Group,1.61,299,0.12,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,Before intervention (T0),False,False,True,Specific Intervention Group,-1.24,0.94,298,Control Group,-1.31,299,0.07,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,After 1 month (T1),False,False,True,Specific Intervention Group,-1.32,0.93,298,Control Group,-1.38,299,0.06,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,After 2 months (T2),False,False,True,Specific Intervention Group,-1.24,0.93,298,Control Group,-1.3,299,0.06,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,After 3 months (T3),False,False,True,Specific Intervention Group,-1.27,0.94,298,Control Group,-1.36,299,0.09,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,Difference between T1 - T0,False,False,True,Specific Intervention Group,-0.07,0.17,298,Control Group,-0.07,299,0.0,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,Difference between T2 - T0,False,False,True,Specific Intervention Group,0.0,0.19,298,Control Group,0.01,299,-0.01,,
NCT05551637,Undernutrition ; Wasting ; Malnourished,Evaluating Oral Nutritional Supplements on Children's Nutritional Status and Digestive Health in Vietnam.,Kazu Gain Gold,placebo,Z,Change of Height for Age Z-score,Difference between T3 - T0,False,False,True,Specific Intervention Group,-0.03,0.21,298,Control Group,-0.05,299,0.02,,
NCT00429364,Marfan Syndrome,Comparison of Two Medications Aimed at Slowing Aortic Root Enlargement in Individuals With Marfan Syndrome,Losartan Potassium ; Atenolol,active-comparator,cm/yr,Annual Rate of Change in Height,,False,False,False,Losartan,0.935,0.202,305,Atenolol,0.822,303,0.113,,
NCT02386839,Retinopathy of Prematurity (ROP),Long-term Safety and Efficacy Outcome Study Comparing Children Previously Enrolled in Study ROPP-2008-01 for the Prevention of Retinopathy of Prematurity (ROP),rhIGF-1/rhIGFBP-3,placebo,Z,Change From Baseline in Height Z-score,Change at 6 Months CA,False,True,True,Antecedent rhIGF-1/rhIGFBP-3,6.19,1.215,39,Antecedent Standard of Care,6.36,28,-0.17,,
NCT02386839,Retinopathy of Prematurity (ROP),Long-term Safety and Efficacy Outcome Study Comparing Children Previously Enrolled in Study ROPP-2008-01 for the Prevention of Retinopathy of Prematurity (ROP),rhIGF-1/rhIGFBP-3,placebo,Z,Change From Baseline in Height Z-score,Change at 12 Months CA,False,True,True,Antecedent rhIGF-1/rhIGFBP-3,7.25,1.155,39,Antecedent Standard of Care,6.79,28,0.46,,
NCT02386839,Retinopathy of Prematurity (ROP),Long-term Safety and Efficacy Outcome Study Comparing Children Previously Enrolled in Study ROPP-2008-01 for the Prevention of Retinopathy of Prematurity (ROP),rhIGF-1/rhIGFBP-3,placebo,Z,Change From Baseline in Height Z-score,Change at 24 Months CA,False,True,True,Antecedent rhIGF-1/rhIGFBP-3,7.78,1.376,39,Antecedent Standard of Care,7.3,28,0.48,,
NCT02386839,Retinopathy of Prematurity (ROP),Long-term Safety and Efficacy Outcome Study Comparing Children Previously Enrolled in Study ROPP-2008-01 for the Prevention of Retinopathy of Prematurity (ROP),rhIGF-1/rhIGFBP-3,placebo,Z,Change From Baseline in Height Z-score,Change at 5 Years CA,False,True,True,Antecedent rhIGF-1/rhIGFBP-3,8.17,1.505,39,Antecedent Standard of Care,7.84,28,0.33,,
NCT01705145,Cystic Fibrosis,Study of Ivacaftor in Cystic Fibrosis Subjects 2 Through 5 Years of Age With a CFTR Gating Mutation,Ivacaftor,active-comparator,cm,Part B: Absolute Change From Baseline in Stature at Week 24,,False,False,True,Part B: Ivacaftor 75 mg,3.5,0.93,23,Part B: Overall Ivacaftor,3.3,32,0.2,,
NCT02455622,Hunter Syndrome,Long-term Evaluation on Height and Weight in Patients With MPS II Who Started Treatment at < 6 Years of Age,Elaprase for intravenous (IV) infusion,placebo,Z,Change From Baseline in Height Measured by Z-score,,False,False,True,Combined Set,-1.135,1.348,39,HOS Untreated Set,-4.228,22,3.093,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity at 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,,True,True,True,Lonapegsomatropin,11.17,0.23,105,Daily hGH,10.31,56,0.86,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity Over 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,Week 5,True,True,True,Lonapegsomatropin,13.54,1.07,105,Daily hGH,12.83,56,0.71,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity Over 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,Week 13,True,True,True,Lonapegsomatropin,13.28,0.49,105,Daily hGH,12.22,56,1.06,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity Over 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,Week 26,True,True,True,Lonapegsomatropin,12.65,0.32,105,Daily hGH,11.21,56,1.44,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity Over 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,Week 39,True,True,True,Lonapegsomatropin,11.89,0.26,105,Daily hGH,10.9,56,0.99,,
NCT02781727,"Growth Hormone Deficiency, Pediatric ; hGH (Human Growth Hormone) ; Endocrine System Diseases ; Hormones ; Pituitary Diseases","A Phase 3 Trial of the Safety, Tolerability and Efficacy of TransCon hGH Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",Once weekly subcutaneous injection of TransCon hGH ; Once daily subcutaneous injection of Genotropin,active-comparator,cm/yr,Annualized Height Velocity Over 52 Weeks for Weekly Lonapegsomatropin and Daily hGH Treatment Groups,Week 52,True,True,True,Lonapegsomatropin,11.17,0.23,105,Daily hGH,10.31,56,0.86,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,cm,Change in Height,,True,True,False,Growth Hormone,17.1,0.9,24,Aromatase Inhibitor,14.0,18,3.1,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,cm,Change in Height,,True,True,False,Aromatase Inhibitor and Growth Hormone,18.9,0.8,23,Aromatase Inhibitor,14.0,18,4.9,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,cm,Change in Predicted Height,,True,True,False,Growth Hormone,4.9,0.9,24,Aromatase Inhibitor,0.5,18,4.4,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,cm,Change in Predicted Height,,True,True,False,Aromatase Inhibitor and Growth Hormone,7.4,0.9,23,Aromatase Inhibitor,0.5,18,6.9,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,Z,Change in Bone Density z Score Adjusted for Height,,True,True,False,Growth Hormone,-0.586,0.244,24,Aromatase Inhibitor,-1.061,18,0.475,,
NCT01248416,Idiopathic Short Stature,"Aromatase Inhibitors, Alone And In Combination With Growth Hormone In Adolescent Boys With Idiopathic Short Stature",Aromatase Inhibitor ; Growth Hormone ; Aromatase Inhibitor and Growth Hormone,active-comparator,Z,Change in Bone Density z Score Adjusted for Height,,True,True,False,Aromatase Inhibitor and Growth Hormone,-0.605,0.257,23,Aromatase Inhibitor,-1.061,18,0.456,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,Z,Change From Baseline in Standing Height Z Score Over Time,Change to Week 40,False,False,True,Burosumab Q2W,0.17,0.042,26,Burosumab Q4W Then Q2W,0.1,26,0.07,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,Z,Change From Baseline in Standing Height Z Score Over Time,Change to Week 64,False,False,True,Burosumab Q2W,0.19,0.051,26,Burosumab Q4W Then Q2W,0.12,26,0.07,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,Z,Change From Baseline in Standing Height Z Score Over Time,Change to Week 160,False,False,True,Burosumab Q2W,0.35,0.084,26,Burosumab Q4W Then Q2W,0.19,26,0.16,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Standing Height) Over Time,Change at Week 40,False,False,True,Burosumab Q2W,5.03,1.232,26,Burosumab Q4W Then Q2W,4.49,26,0.54,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Standing Height) Over Time,Change at Week 64,False,False,True,Burosumab Q2W,7.48,1.934,26,Burosumab Q4W Then Q2W,6.98,26,0.5,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Standing Height) Over Time,Change at Week 160,False,False,True,Burosumab Q2W,18.38,2.958,26,Burosumab Q4W Then Q2W,17.22,26,1.16,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Sitting Height) Over Time,Change at Week 40,False,False,True,Burosumab Q2W,2.66,5.496,26,Burosumab Q4W Then Q2W,2.39,26,0.27,,
NCT02163577,X-linked Hypophosphatemia,"Study of KRN23 (Burosumab), a Recombinant Fully Human Monoclonal Antibody Against Fibroblast Growth Factor 23 (FGF23), in Pediatric Subjects With X-linked Hypophosphatemia (XLH)",burosumab,active-comparator,cm,Change From Baseline in Growth (Sitting Height) Over Time,Change at Week 64,False,False,True,Burosumab Q4W Then Q2W,3.45,1.39,26,Burosumab Q2W,3.08,26,0.37,,
