accession,repository,species,age,anatomical_site,tissue,n_samples,n_cells,platform,modality,zonal_identity_resolvable,could_close_gap,url,notes
GSE6429,GEO,human,adolescent,distal femur,cultured growth plate chondrocytes,4,not_applicable,Affymetrix (GPL8300),microarray SuperSeries,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6429,"SuperSeries of GSE1277/GSE1278."
GSE22855,GEO,human,paediatric to adult,long bone,enchondroma vs growth plate and cartilage controls,13,not_applicable,Illumina BeadArray (GPL6884),microarray,no,"g_l11path_018",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22855,"Growth plate used as a normal control tissue; the control arm is a rare source of normal human growth-plate bulk expression."
GSE30844,GEO,human,paediatric to adult,long bone,enchondroma / Ollier / Maffucci + controls,55,not_applicable,array + methylation tiling,microarray + methylation,no,"g_l7fuse_005",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30844,"Contains methylation data on cartilage lesions; the only readily reusable human cartilage methylation resource located, though not on normal physis."
GSE286965,GEO,human,paediatric to adult,long bone,growth plate chondrocytes and chondrosarcoma,18,not_applicable,Illumina NovaSeq (GPL24676),bulk RNA-seq,no,"g_l11path_018",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286965,"IDH-mutant chondrocyte metabolism; growth plate cells used as comparator."
GSE270026,GEO,human,paediatric to adult,long bone,growth plate chondrocytes and chondrosarcoma,6,not_applicable,Illumina NovaSeq (GPL24676),ChIP/CUT&RUN,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270026,"Companion occupancy data to GSE286965."
GSE219215,GEO,human iPSC-derived,in vitro,not_applicable,iPSC chondroprogenitor / hypertrophic / osteogenic organoid,42,not_reported,Illumina (GPL24676/GPL18573),RNA-seq across a directed endochondral differentiation,partial,"g_l2stem_004; g_l5matrix_005",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219215,"An in vitro human endochondral trajectory; substitutes for tissue where tissue is unobtainable but has no spatial axis and no mechanical loading."
GSE288042,GEO,human iPSC-derived,in vitro,not_applicable,skeletal assembloid (IZ/ACP + GPC organoids),4,not_applicable,Illumina NovaSeq (GPL24676),bulk RNA-seq,no,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288042,"PRRX1+ limb-bud mesenchyme route to SP7+ growth plate chondrocytes."
GSE288045,GEO,human iPSC-derived,in vitro,not_applicable,skeletal assembloid,3,not_reported,Illumina (GPL28038),scRNA-seq,partial,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288045,"Single-cell arm of the assembloid series."
GSE288044,GEO,human iPSC-derived,in vitro,not_applicable,skeletal assembloid,9,not_applicable,Illumina (GPL18460),ATAC-seq,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288044,"Chromatin arm of the assembloid series."
GSE288046,GEO,human iPSC-derived,in vitro,not_applicable,skeletal assembloid,16,not_applicable,Illumina (GPL18460),CUT&Tag,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288046,"Histone-mark arm of the assembloid series."
GSE275943,GEO,human PSC-derived,in vitro + kidney capsule graft,not_applicable,osteochondral fusion construct,1,not_reported,Illumina NovaSeq (GPL24676),scRNA-seq,partial,"g_l2stem_002",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275943,"Contains a full endochondral spectrum including hypertrophic-to-osteoblast transition in human cells."
GSE145048,GEO,human PSC-derived,in vitro,not_applicable,GDF5+ chondroprogenitors,8,not_applicable,Illumina (GPL21697),RNA-seq,no,"g_l3rest_002",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145048,"Permanent vs transient chondrocyte fate decision in human cells."
GSE153260,GEO,human,not_reported,joint,chondrocytes,5,not_applicable,Illumina (GPL18573),regulatory occupancy profiling at GDF5,no,"g_l3rest_002",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153260,"GDF5 cis-regulatory variants; directly relevant to the GDF5-UQCC1 height effect size gap."
GSE40942,GEO,human,fetal,bone marrow-derived,MSC chondrogenic pellets,10,not_applicable,Affymetrix (GPL16066),microarray,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40942,"Proposed as a surrogate 'model of the human growth plate'; the surrogacy claim is itself testable against GSE9160."
GSE17368,GEO,human,infant (polydactyly),extra digit,epiphyseal cartilage chondrocytes,9,not_applicable,Affymetrix (GPL570),microarray,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17368,"Polydactyly-derived; the commonest source of 'normal' human paediatric cartilage, and a hand digit rather than a weight-bearing physis."
GSE188353,GEO,human,postnatal,long bone,growth plate + articular chondrocytes,6,not_applicable,Illumina (GPL21290),bulk RNA-seq,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188353,"gp130/STAT3 study; human arm is bulk."
GSE146904,GEO,human,adult,lumbar spine,bone/cartilage/growth plate/muscle comparator panel,10,not_applicable,Illumina (GPL16791),RNA-seq,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146904,"Growth plate used only as a reference tissue (n=7 per tissue); adult, so plate is fused or residual."
GSE193994,GEO,human,children with idiopathic short stature,peripheral blood,exosomes,6,not_applicable,array (GPL31250),lncRNA/circRNA/mRNA profiling,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193994,"Blood proxy for a cartilage phenotype; included to show what the field substitutes when tissue is unavailable."
GSE157147,GEO,human,children with idiopathic short stature,peripheral blood,whole blood,8,not_applicable,array (GPL21825),circRNA profiling,no,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157147,"As above."
E-MTAB-1218,ArrayExpress,human,not_reported,long bone,articular and growth plate cartilage,not_reported,not_applicable,array,microarray,no,"g_l5matrix_003",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-1218,"ArrayExpress-native (not a GEO mirror); requires manual metadata check."
E-GEOD-23492,ArrayExpress,human,not_reported,long bone,articular and growth plate cartilage,not_reported,not_applicable,array,microarray,no,"g_l5matrix_003",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-23492,"GEO mirror."
GSE16981,GEO,rat,postnatal,proximal tibia,growth plate cartilage,35,not_applicable,Affymetrix (GPL1355),zonal microdissection + microarray,yes,"g_l3core_006 (rodent only); g_l2stem_005",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16981,"The rodent counterpart of GSE9160, with 35 arrays against 10. Any human/rodent zonal concordance test runs through this pair, and that test has not been published."
E-GEOD-9537,ArrayExpress,rat,postnatal,proximal tibia,perichondrium vs reserve zone,not_reported,not_applicable,array,microarray,yes,"g_l1arch_013",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-9537,"Only located dataset separating perichondrium from resting zone; bears on groove of Ranvier contribution."
E-GEOD-54216,ArrayExpress,rat,10 days,proximal tibia,articular and growth plate cartilage zones,not_reported,not_applicable,array,zonal microarray,yes,"g_l2stem_005",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-54216,"Zonal, rodent, neonatal."
E-GEOD-18738,ArrayExpress,bovine,not_reported,long bone,hypertrophic vs reserve zone chondrocytes,not_reported,not_applicable,array,microarray,yes,"g_l1arch_008",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-18738,"Large-animal zonal comparison; bovine hypertrophic chondrocyte dimensions are closer to human than rodent."
E-GEOD-31627,ArrayExpress,bovine,not_reported,long bone,growth plate cartilage,not_reported,not_applicable,array,microarray,no,"g_l3core_007",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-31627,"Angus PRKG2 R678X dwarf cattle: a naturally occurring large-mammal cGMP-pathway loss-of-function, directly relevant to the cGMP/growth contradiction."
GSE76157,GEO,mouse,postnatal,long bone,growth plate,217 cells,217,Illumina (GPL13112),scRNA-seq,partial,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76157,"First growth-plate scRNA-seq. 217 cells in total - fewer cells than a single modern 10x lane, and small enough that rare zonal populations cannot be sampled."
GSE138881,GEO,mouse,postnatal,long bone,growth plate and adjacent,360,not_reported,Illumina (GPL21103),scRNA-seq,partial,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138881,"Large murine sample count; species-limited."
GSE182540,GEO,mouse,postnatal,long bone,growth plate,28,not_reported,Illumina NovaSeq (GPL24247),scRNA-seq,partial,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182540,"Murine."
GSE288529,GEO,mouse,postnatal,long bone,growth plate,1,not_reported,Illumina NovaSeq (GPL24247),spatial transcriptomics,yes,"g_l2stem_004; g_l2stem_009",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288529,"ApoE as a marker of ALL resting-zone chondrocytes. Mouse spatial; the human equivalent does not exist (g_l13data_001)."
GSE275252,GEO,mouse,postnatal,long bone,growth plate,1,not_reported,Illumina NovaSeq (GPL24247),spatial transcriptomics,yes,"g_l3core_001",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275252,"ADGRG6 regulates the PTHrP+ population and IHH signalling; spatial readout of the PTHrP/IHH loop in mouse."
GSE221571,GEO,mouse,not_applicable,not_applicable,degraded / low-RIN tissue,14,not_applicable,Visium (GPL30172),RNA-Rescue Spatial Transcriptomics,yes,"g_l13data_001 (methodological enabler)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221571,"Method that recovers spatial transcriptomes from low-RNA-integrity samples. This is the technical route by which archived human physeal tissue could be made spatially readable."
GSE299816,GEO,mouse,not_reported,long bone,growth plate,1,not_reported,not_reported (GPL24247),single-cell + spatial reanalysis,yes,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299816,"Methodological reanalysis of growth-plate spatial data."
GSE51994,GEO,mouse,1 week,proximal tibia,articular cartilage zones,14,not_applicable,array (GPL1261),laser capture + microarray,yes,none_directly,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51994,"Articular rather than physeal, but the direct methodological template for zonal LCM."
GSE151354,GEO,zebrafish,larval/juvenile,not_applicable,skeletal/endochondral,2,not_reported,Illumina (GPL20828),scRNA-seq,partial,"g_l13b species translation",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151354,"Zebrafish endochondral growth zones lack a columnar proliferative zone; transferability to human is minimal."
E-MTAB-14554,ArrayExpress,mouse,neonatal,long bone,growth plate,not_reported,not_reported,10x,scRNA-seq,partial,none_directly,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14554,"ArrayExpress-native murine growth plate scRNA-seq with conditional G6PD deletion."
EmbryonicHindlimb (HCA),Human Cell Atlas,human,5-9 post-conception weeks,hindlimb (whole sagittal section),limb including cartilage anlagen,not_reported,>100000,10x + Visium,scRNA-seq + spatial transcriptomics,yes (embryonic limb; no growth plate yet),"g_l13data_001 (partial); g_l0 origin",https://data.humancellatlas.org/explore/projects,"Zhang et al. Nature 2024. This is genuine HUMAN spatial transcriptomics of limb cartilage - but at 5-9 PCW, before a growth plate with resting/proliferative/hypertrophic zones exists. It therefore narrows but does not close g_l13data_001."
femoralHeadScRnaSeq (HCA),Human Cell Atlas,human,adult,femoral head,bone/cartilage,not_reported,not_reported,10x,scRNA-seq,no,none_directly,https://data.humancellatlas.org/explore/projects,"Adult femoral head; growth plate fused."
AtlasOfHumanIntervertebralDisc (HCA),Human Cell Atlas,human,adult,intervertebral disc,disc + endplate,not_reported,not_reported,10x,scRNA-seq,no,"g_l1arch_011",https://data.humancellatlas.org/explore/projects,"Vertebral endplate cartilage in adults; the paediatric vertebral physis is absent from every atlas."
HCA organ facet 'cartilage',Human Cell Atlas,not_applicable,not_applicable,not_applicable,not_applicable,0,0,not_applicable,not_applicable,not_applicable,"g_l13b_002",https://service.azul.data.humancellatlas.org/index/projects,"Documented null. The HCA organ vocabulary contains bone marrow, bone tissue, bone element, femur, hindlimb, limb, skeletal element and musculoskeletal system - and no cartilage or growth plate term at all. No HCA project is indexed to growth plate."
Xie 2025 supplementary (PMC12334589),paper supplement,human,paediatric (10 donors: 6 amputation for osteosarcoma/trauma + 4 polydactyly),long bone,growth plate + epiphysis + metaphysis interfaces,10 donors,not_applicable,nanoindentation + EDX + proteomics,mechanical mapping + spatial proteomics,yes,"g_l5matrix_001; g_l5matrix_008; g_l5matrix_002",https://doi.org/10.1038/s41467-025-62711-z,"Direct human measurement of the modulus gradient across the growth-plate/epiphysis and growth-plate/metaphysis interfaces plus interface proteomics (SPP1, AHSG, ENPP1, ALPL). The single best existing source for human physeal micromechanics."
Zoehrer 2025 (ToF-SIMS),paper supplement,human,infant (3 polydactyly specimens),digit,growth plate cartilage-bone interface,3 donors,not_applicable,time-of-flight secondary ion mass spectrometry,large-area chemical imaging,yes,"g_l5matrix_002",https://doi.org/10.1098/rsif.2025.0288,"First ToF-SIMS of human growth plate. Maps Ca+/CH4N+ transition at the calcified cartilage front. Chemistry, not concentrations, so gives ratios rather than the absolute Pi/PPi the gap asks for."
Nilsson 2003 cohort,paper (no deposit),human,Tanner 1-5 (16 boys + 8 girls),proximal tibia,growth plate biopsies,24 donors,not_applicable,immunohistochemistry + image analysis,protein zonal quantification,yes,"g_l4endo_003; g_l7fuse_001",https://doi.org/10.1677/joe.0.1770319,"Largest single postnatal human growth-plate biopsy series located, and it was never deposited in any repository. Percent receptor-positive cells reported per zone."
GSE288042-46 series,GEO,human iPSC-derived,in vitro,not_applicable,skeletal assembloid,32 total,not_reported,mixed,multi-omic,partial,"g_l2stem_004",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288042,"Rolled-up entry for the assembloid SuperSeries."
SRA PRJNA102713,SRA/BioProject,human,11-13 y,distal femur,growth plate zones,10,not_applicable,Affymetrix,raw array data for GSE9160,yes,"g_l3core_006",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA102713,"BioProject wrapper for GSE9160; raw CEL files available."
GTEx (all tissues),GTEx,human,20-79 y,54 tissues,none skeletal-cartilaginous,>17000,not_applicable,RNA-seq,bulk eQTL resource,no,"g_l8gwas_001 (negatively)",https://gtexportal.org,"Documented null with direct consequence: GTEx contains NO growth plate, NO cartilage and NO paediatric donors, so height-GWAS variants cannot be colocalised to the tissue that produces height. This is why g_l8gwas_001 and g_l8gwas_002 remain open."
Human Protein Atlas,HPA,human,adult,not_applicable,no growth plate tissue,0,not_applicable,immunohistochemistry,protein localization,no,"g_l3core_006 (negatively)",https://www.proteinatlas.org,"HPA normal-tissue panel contains no growth plate. Every 'is protein X in the human growth plate' question therefore requires bespoke tissue."
GSE252288,GEO,human,"fetal-to-postnatal, multiple stages",multiple skeletal elements (appendicular),in vivo chondrocytes,69,not_applicable,RNA-seq,bulk RNA-seq,no,g_l8 genetics-to-regulation wiring; site-specific growth,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252288,Operator-supplied 2026-08-13. 69 human IN VIVO chondrocyte RNA-seq across skeletal SITES and stages. Pairs with GSE252289 ATAC. Attacks the atlas's 'one generic growth plate' problem directly - the axial/appendicular split is the file's most decision-relevant compartment fact and has never had multi-site human data.
GSE252289,GEO,human,"fetal-to-postnatal, multiple stages",multiple skeletal elements (appendicular),in vivo chondrocytes,89,not_applicable,ATAC-seq,chromatin accessibility,no,height GWAS -> regulatory DNA -> gene,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252289,Operator-supplied 2026-08-13. 89 ATAC-seq samples. THE natural partner for a height GWAS: lets non-coding height variants be assigned to open chromatin in the right cell type and site. Downloaded as peak table (GSE252289_ATAC_peaks.xlsx).
GSE225878,GEO,mouse,in vitro differentiation,growth-plate-like chondrocytes,ATDC5-like / primary,4,not_applicable,genome-wide CRISPR KO screen,"CRISPR screen, LFC per gene",no,"converts association into CAUSATION for 22,624 genes",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225878,"Operator-supplied 2026-08-13. Primary + secondary screens, day 4 and day 15, 22,624 genes with average LFC and -log(p). THE missing causal bridge. *** SIGN CONVENTION NOT YET CALIBRATED (CORR-296): internal controls are ambiguous - Sox9 -0.82 and Runx2 -0.64 fit 'required gene depleted' but Npr2 +1.19 and Pth1r +0.84 do not fit a growth axis, and no gene approaches multiple-testing significance (max -logP ~2 over 22,624 genes). DO NOT read directions from this file until the source paper's methods and hit-calling are in hand. ***"
GSE225879,GEO,mouse,in vitro,growth-plate-like chondrocytes,sorted by maturation marker,0,not_applicable,RNA-seq,bulk RNA-seq of sorted fractions,partial,interprets the CRISPR screen's selection axis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225879,Operator-supplied 2026-08-13. Expression of the sorted populations the CRISPR screen selected on - needed to know WHAT the screen's LFC axis means.
GSE225796,GEO,mouse,day 1/3/5/10,in vitro,growth-plate-like chondrocytes,0,not_applicable,RNA-seq,differentiation time course,partial,maps CRISPR hits onto a continuous maturation trajectory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225796,Operator-supplied 2026-08-13. WT differentiation time course. Only good paired with GSE225878/9.
GSE114919,GEO,mouse; rat,young vs older,tibia and phalanx,"growth plate, zone-separated",60,not_applicable,RNA-seq,bulk RNA-seq,yes,growth-plate senescence; site-specific growth; why velocity falls,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114919,"Operator-supplied 2026-08-13. age x ZONE x SITE x SPECIES, 60 samples. Purpose-built for the PERIOD question - what changes as velocity falls, and what is universal versus site-specific. Two species allows a conservation filter."
PXD055563,PRIDE,mouse,in vitro,chondrocytes,chondrocytes (Phlpp1 perturbation),24,not_applicable,Orbitrap Fusion Lumos,proteome + phosphoproteome,no,biochemical STATE layer; transcript-is-not-protein,https://www.ebi.ac.uk/pride/archive/projects/PXD055563,"Operator-supplied 2026-08-13. MOUSE, Phlpp1 phosphatase perturbation. Repository holds only RAW spectra (24 .raw + 24 .mgf) plus ONE processed mzTab (8,100 proteins, 285,605 PSMs) which was downloaded. mzTab is IDENTIFICATION-mode, so it gives presence but not quantification. *** To use the phospho contrast, the PAPER'S SUPPLEMENTARY PHOSPHOSITE TABLE is needed - re-searching raw spectra is not possible here. ***"
hpo_genes_to_phenotype,HPO,human,not_applicable,not_applicable,not_applicable,0,not_applicable,curated ontology,gene-phenotype annotations,not_applicable,computational bridge from genes to human skeletal phenotypes,https://hpo.jax.org/,"Operator-suggested 2026-08-13. Systematically links genes to tall/short stature, advanced/delayed bone age, epiphyseal/metaphyseal abnormality and body proportions - replaces per-syndrome manual curation. 20.7 MB genes_to_phenotype + 66.9 MB phenotype_to_genes."
GCST90728588,GWAS Catalog,human,adult,whole body,not_applicable,545982,not_applicable,GWAS meta-analysis,full summary statistics,not_applicable,THE trunk-versus-limb compartment question,https://www.ebi.ac.uk/gwas/studies/GCST90728588,"FOUND BY THIS ROUND'S HUNT, not on the supplied list. SITTING HEIGHT RATIO - genetics of skeletal PROPORTIONS - 473,511 European plus 72,471 East Asian, FULL SUMMARY STATISTICS (173 MB). The residual for this subject is TRUNK-dominant while every agent in the stack was characterised on long bones, and CLAUDE.md calls the axial/appendicular split its most decision-relevant compartment fact. This is the first dataset that can separate genes shifting PROPORTION from genes shifting overall height."
