ref_id,year,first_author,provenance_class,tissue_source,anatomical_site,age_band,n_distinct_donors,n_stated_explicitly,readout,counted_in_postnatal_total,notes
kindblom2002,2002,Kindblom JM,surgical waste,epiphyseal surgery,long bone,various pubertal stages,not_stated,no,Ihh and PTHrP IHH,yes,"Donor count not given in the abstract; probable overlap with the Nilsson cohort. Queued for full-text check."
emons2009,2009,Emons J,surgical waste,epiphyseal surgery,long bone,various pubertal stages incl. one fusing plate,not_stated,no,TUNEL + EM + apoptosis protein IHC,yes,"Contains the single 'unique late pubertal growth plate, which was about to fuse'. Exact n not in abstract; queued."
emons2011_2,2011,Emons J,surgical waste,epiphyseal surgery,long bone,one girl at Tanner B2 then B3,1,yes,histomorphometry + microarray (GSE18338),yes,"Two specimens, one donor. A within-subject pubertal time course with n=1."
gse9160,2007,Mougey EB,surgical waste,epiphysiodesis,distal femur,11y10m female and 13y3m male,2,yes,laser-capture microdissection + microarray by zone,yes,"The entire publicly available human ZONAL transcriptome is these two children."
chu2026,2026,Chu NTL,surgical waste,growth-restricting surgery (epiphysiodesis),long bone,11-14 y,4,yes,scRNA-seq + spatial analysis + ex vivo GH,yes,"GSE288028. Raw human sequence not deposited."
zhang2024a,2024,Zhang Z,surgical waste,epiphysiodesis,long bone,adolescent,3,yes,bulk RNA-seq after controlled loading,yes,"GSE246390. 18 biopsies from 3 donors."
ramesh2022,2022,Ramesh S,surgical waste,epiphysiodesis,long bone,paediatric,5,yes,ex vivo shockwave + chondrogenic markers,yes,"Paired exposed/unexposed from the same limb."
white2008,2008,White JR,surgical waste,not stated (single physis),distal tibia,"adolescent (physiological epiphysiodesis in progress)",1,yes,stereological histomorphometry,yes,"n=1. The only quantitative stereological description of a human physis in the act of closing."
wang2014,2014,Wang HD,surgical waste,amputation before and after denosumab,long bone,9 y,1,yes,histopathology,yes,"Within-subject before/after in one child; the only human pharmacological growth-plate before/after histology located."
baron1993,1993,Bar-On E,surgical waste,resection for osteosarcoma,distal femur,paediatric,10,yes,histology,yes,"8 of 10 chemotherapy-exposed; not normal plates."
sales2009,2009,Sales de Gauzy J,surgical waste,hip disarticulation after Ewing sarcoma recurrence,proximal femur transplant,5 y at surgery,1,yes,histology of a transplanted physis,yes,"Unique: a human growth plate examined 3 years after being transplanted."
gse1277,2004,Olney RC,surgical waste,epiphysiodesis,distal femur,adolescent,1,yes,microarray of monolayer-expanded chondrocytes,yes,"Cells, not tissue architecture."
gse1278,2004,Olney RC,surgical waste,epiphysiodesis,distal femur,adolescent,3,yes,microarray of monolayer-expanded chondrocytes,yes,"Cells, not tissue architecture."
byers1992,1992,Byers S,postmortem,autopsy,long bone,paediatric,not_stated,no,GAG immunolocalisation,no,"Donor count not in abstract; queued."
byers2000,2000,Byers S,postmortem,autopsy,rib,birth to adolescence,not_stated,no,quantitative histomorphometry,no,"Donor count not in abstract; queued. One of only two quantitative human histomorphometry series across the growing years."
kember1976,1976,Kember NF,postmortem,not stated,distal femur,birth to 18 y,not_stated,no,quantitative histology + cell counts per column,no,"Source of the ~20-day human PZ cycle time used throughout this atlas. Donor count not in abstract; queued as P1."
thurston1985,1985,Thurston AJ,surgical/postmortem,not stated,long bone,paediatric,not_stated,no,in vitro tritiated thymidine labelling,yes,"The only in vitro proliferative labelling of human growth plate located."
huch2002,2002,Huch K,mixed,surgical + autopsy controls,long bone,fetal and postnatal,not_stated,no,collagen I/II/X and Ki-67 IHC,yes,"Growth plate used as control for osteochondroma."
avijgan2025,2025,Avijgan,surgical waste,not stated (preprint),long bone,paediatric,not_stated,no,transcriptomic profiling of resting-zone subpopulations,yes,"Preprint; donor count not extractable without full text. Queued."
gse17368,2009,not stated,surgical waste,polydactyly digit resection,supernumerary digit,infant,not_stated,no,microarray of expanded chondrocytes,yes,"9 arrays; donor count not stated."
