param_id,row_index,layer,node_id,parameter,value,value_min,value_max,unit,conditions,species,site,age,sex,source_ref,uncertainty,value_unverified,superseded_model,notes
p_d13e70b30c,p00045,L10,lead_exposure_growth,blood lead range over which an inverse relation with stature was observed,0.14-1.92,0.14,1.92,umol/L,"1454 Mexican-American children aged 5-12, HHANES 1982-1984",human,,,,frisancho1991,inverse relationship reported across the range; effect size not stated in the abstract,False,False,
p_31ff1e4b47,p00046,L10,lead_exposure_growth,children screened in the lead / short stature clinical series,880,880.0,880.0,children,"referred for short stature, split into GH-deficient and idiopathic-short-stature groups by GH stimulation peak",human,,,,xu2014,"P<0.05 for the group differences in height, weight, IGF-1 and blood lead",False,False,
p_9c318736d0,p00047,L10,maternal_nutrition_offspring_height,age window in which Atole supplementation reduced stunting,<3,3.0,3.0,years,"INCAP village-randomised trial, Guatemala 1969-1977",human,,,,martorell2017,reported in a review of the trial rather than as a within-trial age interaction test,False,False,
p_04416e1913,p00048,L10,maternal_nutrition_offspring_height,increase in adult male wages after Atole through age 2,46,46.0,46.0,%,INCAP cohort followed to 2002-2004,human,,,,martorell2017,as reported in the review,False,False,
p_b1ea3427b6,p00049,L10,microbiome_igf1_axis,serum IGF-1 response to short-chain fatty acid supplementation in antibiotic-treated mice,restored to non-antibiotic-treated levels,,,qualitative,conventionally raised mice after antibiotic depletion,mouse,,,,yan2016,direction and endpoint as reported; absolute concentrations in the paper,False,False,
p_ed5f0cdfa7,p00050,L10,migration_studies_height,"height gain at age 18, Turkish- and Moroccan-origin children in the Netherlands, 1997-2009",2-3,2.0,3.0,cm,nationwide Dutch surveys; n=2548 Turkish and 2594 Moroccan children in 2009,human,,,,schnbeck2015,reported as 2 to 3 cm taller than in 1997,False,False,
p_11b71bca5f,p00051,L10,migration_studies_height,"mean height at age 18, Turkish- and Moroccan-origin, 2009",177 (boys) / 163 (girls),,,cm,"Netherlands, nationwide survey",human,,,,schnbeck2015,"group means, similar for both origin groups",False,False,
p_b4ffddba6e,p00052,L10,milk_consumption_height,serum IGF-I response to 1.5 L/day skimmed milk for 7 days,+19,19.0,19.0,%,"healthy prepubertal boys aged 8 y, n=12",human,,,,hoppe2004,P=0.001,False,False,
p_a01ca300b7,p00053,L10,milk_consumption_height,serum IGF-I/IGFBP-3 ratio response to the same milk load,+13,13.0,13.0,%,"healthy prepubertal boys aged 8 y, n=12",human,,,,hoppe2004,P<0.0001,False,False,
p_3cf947bf44,p00054,L10,milk_consumption_height,serum IGF-1 response to the casein fraction of 1.5 L skim milk,+15,15.0,15.0,%,"57 boys aged 8 y, 7-day randomised 2x2 factorial",human,,,,hoppe2009,P<0.0001,False,False,
p_2be61cd694,p00055,L10,ncd_risc_height_dataset,adult studies pooled,1472,1472.0,1472.0,studies,"measured adult height, 200 countries, birth cohorts 1896-1996",human,,,,ncd2016,not applicable,False,False,
p_4ac1f97253,p00056,L10,ncd_risc_height_dataset,adult participants with measured height,18.6,18.6,18.6,million,200 countries,human,,,,ncd2016,not applicable,False,False,
p_3da4c0045f,p00057,L10,ncd_risc_height_dataset,child and adolescent studies pooled,2181,2181.0,2181.0,studies,"ages 5-19, 1985-2019, 200 countries and territories",human,,,,ncd2020,not applicable,False,False,
p_9d4f17d3aa,p00058,L10,ncd_risc_height_dataset,child and adolescent participants,65,65.0,65.0,million,"ages 5-19, 1985-2019",human,,,,ncd2020,not applicable,False,False,
p_b2a9a0291c,p00059,L10,ncd_risc_height_dataset,"between-country range in mean height at age 19, 2019",>=20,,,cm,"tallest (Netherlands, Montenegro, Estonia, Bosnia and Herzegovina for boys) vs shortest (Timor-Leste, Laos, Solomon Islands, Papua New Guinea for boys)",human,,,,ncd2020,reported as a difference of 20 cm or higher,False,False,
p_4846a94aae,p00060,L10,netherlands_tallest_population,highest recorded population mean adult height,>182.5,182.5,182.5,cm,Dutch men born in the last quarter of the 20th century,human,,,,ncd2016,posterior mean; credible interval in ncd2016 Figure 5,False,False,
p_a7ea2faf38,p00061,L10,netherlands_tallest_population,"mean final height, Dutch men",183.8,183.8,183.8,cm,"Dutch nationwide growth study 2009, Dutch origin, n=5811 boys aged 0-21",human,,,,schnbeck2013,SD 7.1 cm,False,False,
p_aac2fe7557,p00062,L10,netherlands_tallest_population,"mean final height, Dutch women",170.7,170.7,170.7,cm,"Dutch nationwide growth study 2009, Dutch origin, n=6194 girls aged 0-21",human,,,,schnbeck2013,SD 6.3 cm,False,False,
p_3a335ad07e,p00063,L10,netherlands_tallest_population,"change in height-by-age, Dutch-origin children, 1997 to 2009",0,0.0,0.0,cm,nationwide cross-sectional comparison,human,,,,schnbeck2013,reported as 'the same as in 1997',False,False,
p_36d0381c43,p00064,L10,netherlands_tallest_population,"height gap at age 18, Turkish/Moroccan-origin vs Dutch-origin, 2009",5.5 (boys) to 7 (girls),,,cm,"Netherlands, nationwide survey; n=2548 Turkish, 2594 Moroccan, 11255 Dutch origin",human,,,,schnbeck2015,group means,False,False,
p_e902d46470,p00065,L10,placental_function_growth,"birthweight variance explained by a polygenic index, unexposed controls",14,14.0,14.0,%,"Dutch Hunger Winter Families Study controls, n=161",human,,,,taeubert2026,"r=0.38, p<0.001; falls to r=0.10 in famine-exposed",False,False,
p_c22485ba78,p00066,L10,population_height_variation,"range of national mean adult height, tallest minus shortest",19-20,19.0,20.0,cm,"1896 birth cohort and 1996 birth cohort; unchanged for women, widened for men",human,,,,ncd2016,per-country credible intervals in ncd2016,False,False,
p_efe4941b42,p00067,L10,population_height_variation,lowest recorded national mean adult height,140.3,140.3,140.3,cm,"Guatemalan women, 1896 birth cohort",human,,,,ncd2016,95% credible interval 135.8-144.8,False,False,
p_2845c89a43,p00068,L10,preterm_birth_growth,predicted final height difference in girls exposed to antenatal steroids,2.8,2.8,2.8,cm,"Sheffield neonatal cohort recruited from 1994, SITAR model of 202 children, n=59 of 87 girls with complete covariates, adjusted for gestational age and parental heights",human,,,,lawrence2025,95% CI 0.3-5.3,False,False,
p_c2a82fda45,p00069,L10,preterm_birth_growth,height measurements per child in the modelled cohort,19,19.0,19.0,measurements,"median, IQR 12-21, to a median age of 15.8 y",human,,,,lawrence2025,"Q1 12, Q3 21",False,False,
p_e24fbcd622,p00070,L10,protein_intake_growth,change in serum IGF-I after 7 days of 1.5 L/day skimmed milk,+19,19.0,19.0,%,"healthy 8-year-old boys, n=12 of 24, free-living diet otherwise",human,,,,hoppe2004,P=0.001,False,False,
p_d18da9e742,p00071,L10,protein_intake_growth,change in serum IGF-I after 7 days of isonitrogenous lean meat,0,0.0,0.0,%,"healthy 8-year-old boys, n=12 of 24; protein intake rose 54% to 3.8 g/kg/day",human,,,,hoppe2004,no significant increase reported,False,False,
p_4466172ca7,p00072,L10,protein_intake_growth,change in serum IGF-1 after 7 days of casein at the level in 1.5 L skim milk,+15,15.0,15.0,%,"57 eight-year-old boys, 2x2 factorial with milk minerals",human,,,,hoppe2009,P<0.0001,False,False,
p_526b63a907,p00073,L10,protein_intake_growth,change in fasting insulin after 7 days of whey at the level in 1.5 L skim milk,+21,21.0,21.0,%,57 eight-year-old boys,human,,,,hoppe2009,"P=0.006; IGF-1 unchanged, P=0.27",False,False,
p_c38cc6aa52,p00074,L10,protein_intake_growth,protein intake achieved in the milk arm,4.0,4.0,4.0,g/kg/day,"8-year-old boys, 3-day weighed records, 61% increase from baseline",human,,,,hoppe2004,P<0.0001 for the increase,False,False,
p_bd9226709a,p00075,L10,secular_trend_height,"largest century-scale gain in mean adult height, any population",20.2,20.2,20.2,cm,"South Korean women, 1896 vs 1996 birth cohorts",human,,,,ncd2016,95% credible interval 17.5-22.7,False,False,
p_9a87f2ffcc,p00076,L10,secular_trend_height,"largest century-scale gain in mean adult height, men",16.5,16.5,16.5,cm,"Iranian men, 1896 vs 1996 birth cohorts",human,,,,ncd2016,95% credible interval 13.3-19.7,False,False,
p_bb9a7c8e08,p00077,L10,secular_trend_height,implied maximum sustained secular rate,2.0,2.0,2.0,cm/decade,"South Korean women; derived by dividing the reported 100-year gain by 10, not a measured decadal slope",human,,,,ncd2016,range implied by the 17.5-22.7 cm credible interval is 1.75-2.27 cm/decade,False,False,
p_f8b4e7ee5c,p00078,L10,secular_trend_height,"secular rate, German male conscripts, born before 1916",0.45,0.45,0.45,mm/yr,German armed forces conscripts,human,,,,scheffler2025,not reported,False,False,
p_d7dccfbadd,p00079,L10,secular_trend_height,"secular rate, German male conscripts, 1916-1933",2.15,2.15,2.15,mm/yr,German armed forces conscripts,human,,,,scheffler2025,not reported,False,False,
p_20f8e59ce9,p00080,L10,secular_trend_height,"secular rate, East German male conscripts after 1989 reunification",4,4.0,4.0,mm/yr,post-reunification East German conscripts,human,,,,scheffler2025,not reported,False,False,
p_569ef05762,p00081,L10,secular_trend_height,secular trend in height at ages 4 / 9 / 14 / 18,0.35 / 0.46 / 0.38 / not detectable,,,SD per decade,"Zurich Longitudinal Studies, n=236, born 1978-1993",human,,,,eichelberger2024,n=236; significance as reported by the authors,False,False,
p_9d2296df30,p00082,L10,secular_trend_reversal,"decline in mean adult height from cohort peak, worst-affected sub-Saharan countries",~5,5.0,5.0,cm,"Niger, Rwanda, Sierra Leone, Uganda; birth cohorts after the early 1960s",human,,,,ncd2016,reported as 'by around 5 cm from its peak in some countries'; per-country credible intervals in ncd2016 Figure 8,False,False,
p_b2e7fbc885,p00083,L10,sga_catch_up,proportion of SGA infants showing catch-up in the first 6 months,82.9,82.9,82.9,%,"healthy children, Goteborg, Sweden",human,,,,karlberg2002,abstract only; denominator not stated in the abstract,False,False,
p_b2c5c99157,p00084,L10,sga_catch_up,proportion of SGA infants reaching a final height within the normal range,94.3,94.3,94.3,%,same series,human,,,,karlberg2002,abstract only,False,False,
p_328e6d26c1,p00085,L10,sga_catch_up,proportion of infants still short at 6 months who remained short into adulthood,15.2,15.2,15.2,%,"66 short infants at 6 months (21 SGA, 45 non-SGA); 10 of 66",human,,,,karlberg2002,abstract only; small denominator,False,False,
p_41315a33a1,p00086,L10,small_for_gestational_age,proportion of length-defined SGA infants still below -2 SDS in height at 1 year,13.4,13.4,13.4,%,3650 healthy full-term Swedish singletons,human,,,,karlberg1995,not reported,False,False,
p_90a94028a8,p00087,L10,small_for_gestational_age,proportion of length-defined SGA infants still below -2 SDS in height at 18 years,7.9,7.9,7.9,%,same cohort,human,,,,karlberg1995,not reported,False,False,
p_adb3258ab0,p00088,L10,small_for_gestational_age,relative risk of short final stature in length-defined SGA,7.1,7.1,7.1,relative risk,"same cohort, vs non-SGAL",human,,,,karlberg1995,95% CI 3.7-13.6,False,False,
p_bce92944b4,p00089,L10,small_for_gestational_age,proportion of short prepubertal children who had been SGA by length,21,21.0,21.0,%,same cohort,human,,,,karlberg1995,not reported,False,False,
p_9166041caa,p00090,L10,socioeconomic_gradient_height,"adult height difference, upwardly wealth-mobile vs stable-low",1.88,1.88,1.88,cm,"INCAP Guatemalan birth cohort, n=1386, middle adulthood, latent-class wealth mobility",human,,,,varghese2021,95% CI 1.04-2.72,False,False,
p_cf2449167e,p00091,L10,stunting,median serum IGF-1 in stunted children,37.4,37.4,37.4,ug/L,"740 Ugandan children aged 12-59 months, mean HAZ -3.02",human,,,,madigan2026,IQR 24.2-53.3,False,False,
p_f1b62e76dc,p00092,L10,stunting,serum IGF-1 difference associated with a positive malaria test,-4.7,-4.7,-4.7,ug/L,"stunted Ugandan children, Tobit regression, before inflammation adjustment",human,,,,madigan2026,95% CI -7.8 to -1.6,False,False,
p_d9ed67f468,p00093,L10,stunting,effect of small-quantity lipid-based nutrient supplements on length-for-age Z,0.15,0.15,0.15,z-score,"pooled 15 RCTs, 10 LMICs, n=36970",human,,,,watson2025,95% CI 0.12-0.17,False,False,
p_c28aa0dfa2,p00094,L10,stunting,proportion of maximal attainable linear growth benefit achieved by SQ-LNS,11,11.0,11.0,%,"12 comparisons, n=19768",human,,,,watson2025,95% CI 9.4-12; between-trial I2 = 90%,False,False,
p_0a1768bf9c,p00095,L10,vitamin_a_growth,effect of vitamin A supplementation alone on height-for-age Z,no significant effect,,,z-score,"meta-analysis of RCTs in children aged 0-14 y in LMICs, 12 RCTs and 6340 children in total",human,,,,peng2025,"reported as no significant impact on HAZ, WAZ or WHZ",False,False,
p_6ca33bd465,p00096,L10,vitamin_a_growth,effect of vitamin D3 supplementation alone on height-for-age Z,no significant effect,,,z-score,same meta-analysis,human,,,,peng2025,"Z=0.43, P=0.67",False,False,
p_aec3527e5f,p00097,L10,vitamin_d_deficiency_rickets,effect of vitamin D3 supplementation on height-for-age Z,no significant effect,,,z-score,"meta-analysis of RCTs in children aged 0-14 y in LMICs (12 RCTs, 6340 children in total)",human,,,,peng2025,"Z=0.43, P=0.67",False,False,
p_1c9072bf9e,p00098,L10,vitamin_d_deficiency_rickets,effect of vitamin D3 supplementation on weight-for-age Z,significant improvement,,,z-score,same meta-analysis,human,,,,peng2025,"Z=2.72, P=0.007; clinical relevance described as uncertain by the authors",False,False,
p_54b06d99ba,p00099,L10,zinc_deficiency_growth,effect of zinc supplementation on height increment,0.350,0.35,0.35,SD,"meta-analysis of 33 RCTs in prepubertal children, random-effects model",human,,,,brown2002,95% CI 0.189-0.511,False,False,
p_d5f0c6d643,p00100,L10,zinc_deficiency_growth,effect of zinc supplementation on weight increment,0.309,0.309,0.309,SD,same meta-analysis,human,,,,brown2002,95% CI 0.178-0.439,False,False,
p_3c7071f4d7,p00101,L10,zinc_deficiency_growth,effect of zinc supplementation on weight-for-height,-0.018,-0.018,-0.018,SD,same meta-analysis,human,,,,brown2002,95% CI -0.132 to 0.097; not significant,False,False,
p_dd1699ba38,p00102,L10,zinc_deficiency_growth,effect of zinc supplementation on serum zinc concentration,0.820,0.82,0.82,SD,same meta-analysis; exposure verification,human,,,,brown2002,95% CI 0.499-1.14,False,False,
p_a87ba6e46d,p00103,L11,acan_related_short_stature,adult height in heterozygous ACAN mutation carriers,-2.8,-2.8,-2.8,SDS,"103 individuals (57 female, 46 male) from 20 families with confirmed ACAN mutations",human,,,,gkourogianni2017,median; range -5.9 to -0.9,False,False,
p_ab5a6e88a0,p00104,L11,acan_related_short_stature,childhood height in the same cohort,-2.0,-2.0,-2.0,SDS,"same cohort, measured before adult height attained",human,,,,gkourogianni2017,median; range -4.2 to -0.6,False,False,
p_856f9f8e35,p00105,L11,acan_related_short_stature,bone age advance (bone age minus chronological age),+1.3,1.3,1.3,years,most children in the cohort,human,,,,gkourogianni2017,median; range 0.0 to +3.7,False,False,
p_61965c9392,p00106,L11,acan_related_short_stature,families with early-onset osteoarthritis,12/20,,,families,same cohort,human,,,,gkourogianni2017,n=20 families,False,False,
p_8836720b08,p00107,L11,acan_related_short_stature,families with intervertebral disc disease,9/20,,,families,same cohort,human,,,,gkourogianni2017,n=20 families,False,False,
p_3d505113e2,p00108,L11,acan_related_short_stature,individuals in the cohort,103,103.0,103.0,individuals,"57 female, 46 male, 20 families",human,,,,gkourogianni2017,n=103,False,False,
p_fd1cf48b59,p00109,L11,acan_related_short_stature,adult height in three independently exome-sequenced ACAN families,-2.3 to -4.2,-2.3,-4.2,SDS,autosomal dominant short stature with advanced bone age,human,,,,nilsson2014_2,range across affected individuals,False,False,
p_af0f52140f,p00110,L11,acan_related_short_stature,effect of Acan heterozygosity on chondrocyte proliferation,0,0.0,0.0,detectable change,"Acan+/- (cartilage matrix deficiency) mouse, histomorphometry",mouse,,,,bendre2025,reported as largely unaffected,False,False,
p_21084e5ae1,p00111,L11,acan_related_short_stature,treatment-naive ACAN-deficient children in the prospective rhGH study,10,10.0,10.0,children,"6 female, prepubertal, normal IGF-I, rhGH 50 mcg/kg/day for 3 years",human,,,,muthuvel2024,n=10,False,False,
p_48c9180977,p00112,L11,achondroplasia,"adult height, males",132,132.0,132.0,cm,"European achondroplasia cohort, GAMLSS-modelled reference from 466 children and 4,375 measurement occasions, ages 0-20 y",human,,,,merker2018,variability comparable to the general population; SD not separately reported in abstract,False,False,
p_43e2417e4d,p00113,L11,achondroplasia,"adult height, females",124,124.0,124.0,cm,same European cohort as above,human,,,,merker2018,variability comparable to the general population,False,False,
